step,time_s,env_id,cmd_vx,cmd_vy,cmd_wz,actual_vx,actual_vy,actual_wz,error_xy,error_yaw,speed_xy,root_x,root_y,root_z,proj_grav_z,terrain_z,height_rel,upright,terminated,truncated,term_time_out,term_base_contact
1,0.020000,0,0.75,0.0,0.0,0.041490860283374786,-0.004413798451423645,-0.01864747144281864,0.7085228879004277,0.01864747144281864,0.041724969788177406,7.526522159576416,-4.8388543128967285,0.39887240529060364,-0.9999934434890747,8.159780247326203e-08,0.3988723236928012,1,0,0,0,0
1,0.020000,1,0.75,0.0,0.0,0.04144731163978577,-0.007296331226825714,-0.20292115211486816,0.708590254400848,0.20292115211486816,0.042084630110493695,7.803385257720947,-2.9626901149749756,0.3989295959472656,-0.9999861717224121,1.0097728056066177e-06,0.39892858617446003,1,0,0,0,0
1,0.020000,2,0.75,0.0,0.0,0.042240798473358154,-0.004013776779174805,0.04874354600906372,0.7077705827100068,0.04874354600906372,0.04243106715249923,7.68039608001709,-0.19699299335479736,0.39864903688430786,-0.999977707862854,4.0798901236631015e-07,0.3986486288952955,1,0,0,0,0
1,0.020000,3,0.75,0.0,0.0,0.05740160867571831,-0.006755810230970383,-0.006590497680008411,0.6926313396294307,0.006590497680008411,0.05779779970238645,7.99038553237915,2.45255184173584,0.39878320693969727,-0.9999604225158691,1.0403719815340908e-06,0.39878216656771576,1,0,0,0,0
1,0.020000,4,0.75,0.0,0.0,0.04107344523072243,-0.0015285280533134937,0.03116631507873535,0.7089282026094372,0.03116631507873535,0.041101877099846924,7.1344499588012695,5.330195426940918,0.39886415004730225,-0.9999914169311523,7.139807716410428e-07,0.39886343606653063,1,0,0,0,0
1,0.020000,5,0.75,0.0,0.0,0.061430759727954865,-0.005721716210246086,0.01992746815085411,0.6885930123703057,0.01992746815085411,0.061696647211532604,4.635534763336182,-5.239856243133545,0.39867454767227173,-0.9999669790267944,9.077755525150401e-07,0.3986736398967192,1,0,0,0,0
1,0.020000,6,0.75,0.0,0.0,0.03980540484189987,-0.005506451707333326,-0.17013972997665405,0.7102159418107868,0.17013972997665405,0.04018446546904338,5.009589672088623,-2.1055171489715576,0.398769736289978,-0.9999875426292419,-2.651928580381016e-07,0.3987700014828361,1,0,0,0,0
1,0.020000,7,0.75,0.0,0.0,0.03939518332481384,-0.0013878648169338703,-0.11428947001695633,0.7106061719762397,0.11428947001695633,0.03941962249877304,5.084779739379883,-0.0029451772570610046,0.3992411494255066,-0.9999931454658508,3.773898364388369e-07,0.39924077203567016,1,0,0,0,0
1,0.020000,8,0.75,0.0,0.0,0.042921032756567,-0.0028124633245170116,-0.05597640201449394,0.707084560620575,0.05597640201449394,0.043013079439189784,4.584783554077148,2.5569398403167725,0.39891669154167175,-0.9999814033508301,-3.0599175927473265e-08,0.39891672214084767,1,0,0,0,0
1,0.020000,9,0.75,0.0,0.0,0.048370640724897385,-0.00303718913346529,-0.19078773260116577,0.7016359328844436,0.19078773260116577,0.048465899372337466,4.609221458435059,4.663931369781494,0.39893287420272827,-0.9999868869781494,7.85378848805147e-07,0.3989320888238795,1,0,0,0,0
1,0.020000,10,0.75,0.0,0.0,0.042763471603393555,-0.006649864837527275,-0.06235230341553688,0.7072677907276997,0.06235230341553688,0.04327742143348687,2.494431257247925,-5.216638565063477,0.39873477816581726,-0.9999861121177673,4.283884629846257e-07,0.3987343497773543,1,0,0,0,0
1,0.020000,11,0.75,0.0,0.0,0.054028645157814026,-0.0020673125982284546,-0.0714687630534172,0.6959744252070235,0.0714687630534172,0.05406818176125192,2.0275156497955322,-2.7225351333618164,0.3984157145023346,-0.9999915361404419,4.283884629846257e-07,0.3984152861138716,1,0,0,0,0
1,0.020000,12,0.75,0.0,0.0,0.04111028090119362,-0.002942461520433426,-0.17652204632759094,0.7088958258614476,0.17652204632759094,0.041215449476795424,2.644691228866577,-0.27938300371170044,0.3987785279750824,-0.9999891519546509,5.711846173128342e-07,0.39877795679046507,1,0,0,0,0
1,0.020000,13,0.75,0.0,0.0,0.04513777047395706,-0.0036485306918621063,-0.013400488533079624,0.7048716722841354,0.013400488533079624,0.04528498757390897,2.851107358932495,2.961634397506714,0.39868810772895813,-0.9999731183052063,8.159780247326203e-08,0.39868802613115567,1,0,0,0,0
