step,time_s,env_id,cmd_vx,cmd_vy,cmd_wz,actual_vx,actual_vy,actual_wz,error_xy,error_yaw,speed_xy,root_x,root_y,root_z,proj_grav_z,terrain_z,height_rel,upright,terminated,truncated,term_time_out,term_base_contact
1,0.020000,0,0.75,0.0,0.0,0.051095250993967056,-0.006887279450893402,0.12873102724552155,0.6989386831485439,0.12873102724552155,0.05155733984963916,7.526548862457275,-4.839001655578613,0.39906421303749084,-0.9999386668205261,1.1219697840073529e-07,0.39906410084051247,1,0,0,0,0
1,0.020000,1,0.75,0.0,0.0,0.04135271906852722,-0.009178131818771362,-0.047828298062086105,0.7087067142868426,0.047828298062086105,0.04235900704741883,7.803384304046631,-2.9627015590667725,0.39902302622795105,-0.9999803900718689,1.2239670370989306e-07,0.39902290383124733,1,0,0,0,0
1,0.020000,2,0.75,0.0,0.0,0.04709714278578758,-0.009755397215485573,0.16034884750843048,0.7029705502044417,0.16034884750843048,0.048096867189212716,7.6803741455078125,-0.19709433615207672,0.39900481700897217,-0.9999426603317261,2.957920339655749e-07,0.3990045212169382,1,0,0,0,0
1,0.020000,3,0.75,0.0,0.0,0.06592485308647156,-0.010561056435108185,0.12656764686107635,0.6841566652001507,0.12656764686107635,0.0667654264383775,7.990316390991211,2.4524118900299072,0.39881229400634766,-0.9999949932098389,9.179752778241978e-08,0.39881220220881985,1,0,0,0,0
1,0.020000,4,0.75,0.0,0.0,0.045524582266807556,-0.010828792117536068,0.12062201648950577,0.7045586398086967,0.12062201648950577,0.046794768182908446,7.134528160095215,5.330089092254639,0.39891308546066284,-0.9998698234558105,5.40585441385361e-07,0.39891254487522143,1,0,0,0,0
1,0.020000,5,0.75,0.0,0.0,0.07213813066482544,-0.008657893165946007,0.18251848220825195,0.6779171579276115,0.18251848220825195,0.07265582571197139,4.635673522949219,-5.239748001098633,0.3989488184452057,-0.9999141097068787,9.58774179060829e-07,0.39894785967102664,1,0,0,0,0
1,0.020000,6,0.75,0.0,0.0,0.04984826222062111,-0.013691754080355167,-0.03834516927599907,0.7002855989132442,0.03834516927599907,0.051694423066833084,5.0097527503967285,-2.1056554317474365,0.39900586009025574,-0.9999592304229736,5.099862654578877e-08,0.3990058090916292,1,0,0,0,0
1,0.020000,7,0.75,0.0,0.0,0.04039541631937027,-0.0076726097613573074,-0.06698911637067795,0.709646062570004,0.06698911637067795,0.04111761909650559,5.084781169891357,-0.0030160369351506233,0.3990762531757355,-0.9999561905860901,7.547796728776738e-07,0.3990754983960626,1,0,0,0,0
1,0.020000,8,0.75,0.0,0.0,0.04783586412668228,-0.010510130785405636,0.05465823784470558,0.702242790319594,0.05465823784470558,0.04897685928959451,4.584696292877197,2.557070255279541,0.3991759717464447,-0.9999603033065796,2.651928580381016e-07,0.39917570655358664,1,0,0,0,0
1,0.020000,9,0.75,0.0,0.0,0.05625869333744049,-0.010411052964627743,-0.149339497089386,0.6938194221796531,0.149339497089386,0.05721390215558152,4.609364986419678,4.66398286819458,0.3992035984992981,-0.999873697757721,8.771763765875669e-07,0.3992027213229215,1,0,0,0,0
1,0.020000,10,0.75,0.0,0.0,0.04833489656448364,-0.011686287820339203,0.07124702632427216,0.7017624147118409,0.07124702632427216,0.04972757332626579,2.494325876235962,-5.216624736785889,0.3989318609237671,-0.9999394416809082,8.159780247326203e-07,0.39893104494574233,1,0,0,0,0
1,0.020000,11,0.75,0.0,0.0,0.06469687819480896,-0.004488341510295868,-0.01733543910086155,0.6853178196759906,0.01733543910086155,0.06485238050886792,2.0273618698120117,-2.722599506378174,0.39865168929100037,-0.9999749064445496,5.40585441385361e-07,0.39865114870555896,1,0,0,0,0
