source	destination	action	reason
C:\dev\Nconnect\workspace\server_returns\go2_default_vs_pilot_v1_full_260901\extracted\reports\default_SELF_EVAL_REPORT.json	C:\dev\Nconnect\workspace\training\quadruped\reports\evidence\go2_default_vs_pilot_260901\default_SELF_EVAL_REPORT.json	add	paired/self-eval report evidence
C:\dev\Nconnect\workspace\server_returns\go2_default_vs_pilot_v1_full_260901\extracted\reports\GO2_DEFAULT_VS_PILOT_PAIRED_REPORT.json	C:\dev\Nconnect\workspace\training\quadruped\reports\evidence\go2_default_vs_pilot_260901\GO2_DEFAULT_VS_PILOT_PAIRED_REPORT.json	add	paired/self-eval report evidence
C:\dev\Nconnect\workspace\server_returns\go2_default_vs_pilot_v1_full_260901\extracted\reports\GO2_DEFAULT_VS_PILOT_PAIRED_REPORT.md	C:\dev\Nconnect\workspace\training\quadruped\reports\evidence\go2_default_vs_pilot_260901\GO2_DEFAULT_VS_PILOT_PAIRED_REPORT.md	add	paired/self-eval report evidence
C:\dev\Nconnect\workspace\server_returns\go2_default_vs_pilot_v1_full_260901\extracted\reports\pilot_SELF_EVAL_REPORT.json	C:\dev\Nconnect\workspace\training\quadruped\reports\evidence\go2_default_vs_pilot_260901\pilot_SELF_EVAL_REPORT.json	add	paired/self-eval report evidence
C:\dev\Nconnect\workspace\server_returns\go2_default_vs_pilot_v1_full_260901\extracted\analysis_frames\default__G1_forward_fast_seed_202.jpg	C:\dev\Nconnect\workspace\training\quadruped\reports\evidence\go2_default_vs_pilot_260901\contact_sheets\default__G1_forward_fast_seed_202.jpg	add	12-frame direct video observation sheet
C:\dev\Nconnect\workspace\server_returns\go2_default_vs_pilot_v1_full_260901\extracted\analysis_frames\default__G2_diagonal_left_seed_101.jpg	C:\dev\Nconnect\workspace\training\quadruped\reports\evidence\go2_default_vs_pilot_260901\contact_sheets\default__G2_diagonal_left_seed_101.jpg	add	12-frame direct video observation sheet
C:\dev\Nconnect\workspace\server_returns\go2_default_vs_pilot_v1_full_260901\extracted\analysis_frames\default__G3_rough_forward_seed_303.jpg	C:\dev\Nconnect\workspace\training\quadruped\reports\evidence\go2_default_vs_pilot_260901\contact_sheets\default__G3_rough_forward_seed_303.jpg	add	12-frame direct video observation sheet
C:\dev\Nconnect\workspace\server_returns\go2_default_vs_pilot_v1_full_260901\extracted\analysis_frames\default__G4_slope_plus_20_seed_101.jpg	C:\dev\Nconnect\workspace\training\quadruped\reports\evidence\go2_default_vs_pilot_260901\contact_sheets\default__G4_slope_plus_20_seed_101.jpg	add	12-frame direct video observation sheet
C:\dev\Nconnect\workspace\server_returns\go2_default_vs_pilot_v1_full_260901\extracted\analysis_frames\default__G5_stairs_10_down_seed_101.jpg	C:\dev\Nconnect\workspace\training\quadruped\reports\evidence\go2_default_vs_pilot_260901\contact_sheets\default__G5_stairs_10_down_seed_101.jpg	add	12-frame direct video observation sheet
C:\dev\Nconnect\workspace\server_returns\go2_default_vs_pilot_v1_full_260901\extracted\analysis_frames\default__G6_push_neg_x_seed_303.jpg	C:\dev\Nconnect\workspace\training\quadruped\reports\evidence\go2_default_vs_pilot_260901\contact_sheets\default__G6_push_neg_x_seed_303.jpg	add	12-frame direct video observation sheet
C:\dev\Nconnect\workspace\server_returns\go2_default_vs_pilot_v1_full_260901\extracted\analysis_frames\default__G7_dr_seed_303_seed_303.jpg	C:\dev\Nconnect\workspace\training\quadruped\reports\evidence\go2_default_vs_pilot_260901\contact_sheets\default__G7_dr_seed_303_seed_303.jpg	add	12-frame direct video observation sheet
C:\dev\Nconnect\workspace\server_returns\go2_default_vs_pilot_v1_full_260901\extracted\analysis_frames\pilot__G1_forward_fast_seed_303.jpg	C:\dev\Nconnect\workspace\training\quadruped\reports\evidence\go2_default_vs_pilot_260901\contact_sheets\pilot__G1_forward_fast_seed_303.jpg	add	12-frame direct video observation sheet
C:\dev\Nconnect\workspace\server_returns\go2_default_vs_pilot_v1_full_260901\extracted\analysis_frames\pilot__G2_combined_yaw_left_seed_303.jpg	C:\dev\Nconnect\workspace\training\quadruped\reports\evidence\go2_default_vs_pilot_260901\contact_sheets\pilot__G2_combined_yaw_left_seed_303.jpg	add	12-frame direct video observation sheet
C:\dev\Nconnect\workspace\server_returns\go2_default_vs_pilot_v1_full_260901\extracted\analysis_frames\pilot__G3_rough_lateral_seed_303.jpg	C:\dev\Nconnect\workspace\training\quadruped\reports\evidence\go2_default_vs_pilot_260901\contact_sheets\pilot__G3_rough_lateral_seed_303.jpg	add	12-frame direct video observation sheet
C:\dev\Nconnect\workspace\server_returns\go2_default_vs_pilot_v1_full_260901\extracted\analysis_frames\pilot__G4_slope_plus_20_seed_303.jpg	C:\dev\Nconnect\workspace\training\quadruped\reports\evidence\go2_default_vs_pilot_260901\contact_sheets\pilot__G4_slope_plus_20_seed_303.jpg	add	12-frame direct video observation sheet
C:\dev\Nconnect\workspace\server_returns\go2_default_vs_pilot_v1_full_260901\extracted\analysis_frames\pilot__G5_stairs_15_down_seed_202.jpg	C:\dev\Nconnect\workspace\training\quadruped\reports\evidence\go2_default_vs_pilot_260901\contact_sheets\pilot__G5_stairs_15_down_seed_202.jpg	add	12-frame direct video observation sheet
C:\dev\Nconnect\workspace\server_returns\go2_default_vs_pilot_v1_full_260901\extracted\analysis_frames\pilot__G6_push_pos_y_seed_202.jpg	C:\dev\Nconnect\workspace\training\quadruped\reports\evidence\go2_default_vs_pilot_260901\contact_sheets\pilot__G6_push_pos_y_seed_202.jpg	add	12-frame direct video observation sheet
C:\dev\Nconnect\workspace\server_returns\go2_default_vs_pilot_v1_full_260901\extracted\analysis_frames\pilot__G7_dr_seed_101_seed_101.jpg	C:\dev\Nconnect\workspace\training\quadruped\reports\evidence\go2_default_vs_pilot_260901\contact_sheets\pilot__G7_dr_seed_101_seed_101.jpg	add	12-frame direct video observation sheet
