source	destination	action	result	sha256
C:\dev\Nconnect\workspace\server_returns\go2_default_vs_pilot_v1_full_260901\extracted\reports\default_SELF_EVAL_REPORT.json	C:\dev\Nconnect\workspace\training\quadruped\reports\evidence\go2_default_vs_pilot_260901\default_SELF_EVAL_REPORT.json	add	OK	4870e3e194c63d3710fc666658050fecd3ff8bcebf7ef8199b22bad13788c1e7
C:\dev\Nconnect\workspace\server_returns\go2_default_vs_pilot_v1_full_260901\extracted\reports\GO2_DEFAULT_VS_PILOT_PAIRED_REPORT.json	C:\dev\Nconnect\workspace\training\quadruped\reports\evidence\go2_default_vs_pilot_260901\GO2_DEFAULT_VS_PILOT_PAIRED_REPORT.json	add	OK	040ff7abb98e8fa0affa700bae2e33654c8672c1d3c9e0bfecaa88f0312a7d73
C:\dev\Nconnect\workspace\server_returns\go2_default_vs_pilot_v1_full_260901\extracted\reports\GO2_DEFAULT_VS_PILOT_PAIRED_REPORT.md	C:\dev\Nconnect\workspace\training\quadruped\reports\evidence\go2_default_vs_pilot_260901\GO2_DEFAULT_VS_PILOT_PAIRED_REPORT.md	add	OK	aa7b79f491b3eed4f0bc798907dde102a9822c53dc01f0baed0f36b86a528162
C:\dev\Nconnect\workspace\server_returns\go2_default_vs_pilot_v1_full_260901\extracted\reports\pilot_SELF_EVAL_REPORT.json	C:\dev\Nconnect\workspace\training\quadruped\reports\evidence\go2_default_vs_pilot_260901\pilot_SELF_EVAL_REPORT.json	add	OK	10c471e876465a1006285fa1886a340fab810cf129033dc314b7606b96f12871
C:\dev\Nconnect\workspace\server_returns\go2_default_vs_pilot_v1_full_260901\extracted\analysis_frames\default__G1_forward_fast_seed_202.jpg	C:\dev\Nconnect\workspace\training\quadruped\reports\evidence\go2_default_vs_pilot_260901\contact_sheets\default__G1_forward_fast_seed_202.jpg	add	OK	55971c6ec831db3688b23ea4e77610c635be83160c03991689c36cd3f093a6ae
C:\dev\Nconnect\workspace\server_returns\go2_default_vs_pilot_v1_full_260901\extracted\analysis_frames\default__G2_diagonal_left_seed_101.jpg	C:\dev\Nconnect\workspace\training\quadruped\reports\evidence\go2_default_vs_pilot_260901\contact_sheets\default__G2_diagonal_left_seed_101.jpg	add	OK	6489a5ae1e0c147432e9e7c4dbea4553f61dc04ec4b4845ec9b12615ff456c3b
C:\dev\Nconnect\workspace\server_returns\go2_default_vs_pilot_v1_full_260901\extracted\analysis_frames\default__G3_rough_forward_seed_303.jpg	C:\dev\Nconnect\workspace\training\quadruped\reports\evidence\go2_default_vs_pilot_260901\contact_sheets\default__G3_rough_forward_seed_303.jpg	add	OK	442c170c90e390b5e0bc8bb7e0b487233e5dec2df7376c0d1a3062cf8f1fbcf3
C:\dev\Nconnect\workspace\server_returns\go2_default_vs_pilot_v1_full_260901\extracted\analysis_frames\default__G4_slope_plus_20_seed_101.jpg	C:\dev\Nconnect\workspace\training\quadruped\reports\evidence\go2_default_vs_pilot_260901\contact_sheets\default__G4_slope_plus_20_seed_101.jpg	add	OK	78eff90f6579624aa6a03443607d40a697e0e2c20e19a37db182282d67b605a0
C:\dev\Nconnect\workspace\server_returns\go2_default_vs_pilot_v1_full_260901\extracted\analysis_frames\default__G5_stairs_10_down_seed_101.jpg	C:\dev\Nconnect\workspace\training\quadruped\reports\evidence\go2_default_vs_pilot_260901\contact_sheets\default__G5_stairs_10_down_seed_101.jpg	add	OK	aaf38766a9cecd404a56840015caaa1d239330ffeb992d32c8346cd3196cbd9a
C:\dev\Nconnect\workspace\server_returns\go2_default_vs_pilot_v1_full_260901\extracted\analysis_frames\default__G6_push_neg_x_seed_303.jpg	C:\dev\Nconnect\workspace\training\quadruped\reports\evidence\go2_default_vs_pilot_260901\contact_sheets\default__G6_push_neg_x_seed_303.jpg	add	OK	ea8c0af84833c4035e678d1dbb5356047404d7a52e0f82e42da51cc417af2ef7
C:\dev\Nconnect\workspace\server_returns\go2_default_vs_pilot_v1_full_260901\extracted\analysis_frames\default__G7_dr_seed_303_seed_303.jpg	C:\dev\Nconnect\workspace\training\quadruped\reports\evidence\go2_default_vs_pilot_260901\contact_sheets\default__G7_dr_seed_303_seed_303.jpg	add	OK	2e7898644c62a9e8f2a5a924cca909ea2eb801faa4b582ac1d77f81c0a65aba5
C:\dev\Nconnect\workspace\server_returns\go2_default_vs_pilot_v1_full_260901\extracted\analysis_frames\pilot__G1_forward_fast_seed_303.jpg	C:\dev\Nconnect\workspace\training\quadruped\reports\evidence\go2_default_vs_pilot_260901\contact_sheets\pilot__G1_forward_fast_seed_303.jpg	add	OK	b4901c3698bbd3174ea26d7a496fcdcd5f2d49c10a6e4a48f3517173d5b88a9f
C:\dev\Nconnect\workspace\server_returns\go2_default_vs_pilot_v1_full_260901\extracted\analysis_frames\pilot__G2_combined_yaw_left_seed_303.jpg	C:\dev\Nconnect\workspace\training\quadruped\reports\evidence\go2_default_vs_pilot_260901\contact_sheets\pilot__G2_combined_yaw_left_seed_303.jpg	add	OK	d973162d1533512782659d56345a2325b4e1d1604cf902968f2b0c0b1b6bfde6
C:\dev\Nconnect\workspace\server_returns\go2_default_vs_pilot_v1_full_260901\extracted\analysis_frames\pilot__G3_rough_lateral_seed_303.jpg	C:\dev\Nconnect\workspace\training\quadruped\reports\evidence\go2_default_vs_pilot_260901\contact_sheets\pilot__G3_rough_lateral_seed_303.jpg	add	OK	f507cc6ae748dba1f1389e7cd71cb61214c247dc71d22c98f8d80a0d0f6f86e3
C:\dev\Nconnect\workspace\server_returns\go2_default_vs_pilot_v1_full_260901\extracted\analysis_frames\pilot__G4_slope_plus_20_seed_303.jpg	C:\dev\Nconnect\workspace\training\quadruped\reports\evidence\go2_default_vs_pilot_260901\contact_sheets\pilot__G4_slope_plus_20_seed_303.jpg	add	OK	eec97c3317d219a957a25f1c91ca58a88a4f9190f1c680e3645ce1fee6fda314
C:\dev\Nconnect\workspace\server_returns\go2_default_vs_pilot_v1_full_260901\extracted\analysis_frames\pilot__G5_stairs_15_down_seed_202.jpg	C:\dev\Nconnect\workspace\training\quadruped\reports\evidence\go2_default_vs_pilot_260901\contact_sheets\pilot__G5_stairs_15_down_seed_202.jpg	add	OK	e667cd35662a5073b0f6616822016ec52bc1ee8f4d313d428be62a221dd0400b
C:\dev\Nconnect\workspace\server_returns\go2_default_vs_pilot_v1_full_260901\extracted\analysis_frames\pilot__G6_push_pos_y_seed_202.jpg	C:\dev\Nconnect\workspace\training\quadruped\reports\evidence\go2_default_vs_pilot_260901\contact_sheets\pilot__G6_push_pos_y_seed_202.jpg	add	OK	5667252d11f7265fbb1453414b5d6fd0f7121808c466d3f667e1f5ddca20ceb5
C:\dev\Nconnect\workspace\server_returns\go2_default_vs_pilot_v1_full_260901\extracted\analysis_frames\pilot__G7_dr_seed_101_seed_101.jpg	C:\dev\Nconnect\workspace\training\quadruped\reports\evidence\go2_default_vs_pilot_260901\contact_sheets\pilot__G7_dr_seed_101_seed_101.jpg	add	OK	5e5b6fe2aac5c9e7ee188c3bd61b962e4537595c3a668042c3c8129ef43d2a59
