arm,seed,case,summary_present,summary_path,survival_proxy,survival_proxy_v1,survival_proxy_v2,survival_proxy_source,tracking_xy_rmse,tracking_yaw_rmse,post_push_tracking_xy_rmse,projected_progress_m,terminated_env_count,fallen_env_count,posture_fall_env_count_optimistic,posture_fall_env_count_pessimistic,posture_measured,posture_coverage,height_rel_mean,height_rel_median,height_rel_p10,speed_xy_mean,steps,step_dt,rows,schema_version,measurement_contract,recovery_rate,recovery_rate_upright,posture_gate_height_rel_min_m,posture_gate_tilt_cos_max,tracking_xy_proxy,tracking_yaw_proxy,obstacle_completion,tracking_proxy_engine,scenario_proxy_v1,scenario_proxy_v2,scenario_proxy_engine,tracking_proxy_official_shape,scenario_proxy_official_shape_v1,scenario_proxy_official_shape_v2
A033,101,forward_nominal,True,workspace/_keep/go2_g_a033_a017_track_lin_vel_xy_150/evaluation/candidate/cases/seed_101/forward_nominal/summary.json,1.0,1.0,1.0,posture_gate_v2,0.11396777109104736,0.12036948166893019,0.07475643458447542,14.615321758298668,0,0,0,0,True,1.0,0.3578016569259512,0.35850917862698356,0.33610358117098477,0.735659578550715,1000,0.02,32000,6,posture_gate_v2/both_channels_required/no_v1_fallback/row_and_env_coverage_0.99/missing_rows_not_upright/fall_verdict_unambiguous/finite_kinematics_required,0.0,0.0,0.18,0.5,0.9493719565386185,0.9436921781616238,,0.9493719565386185,0.9493719565386185,0.9493719565386185,0.9493719565386185,0.9493719565386185,0.9493719565386185,0.9493719565386185
A033,101,push_pos_x,True,workspace/_keep/go2_g_a033_a017_track_lin_vel_xy_150/evaluation/candidate/cases/seed_101/push_pos_x/summary.json,0.84375,0.84375,0.84375,posture_gate_v2,0.08727137604835394,0.1627116937021128,0.09589429407541449,,5,2,5,5,True,1.0,0.38223931706190745,0.3841925180532078,0.37004462665415067,0.04861949469709407,1000,0.02,32000,6,posture_gate_v2/both_channels_required/no_v1_fallback/row_and_env_coverage_0.99/missing_rows_not_upright/fall_verdict_unambiguous/finite_kinematics_required,1.0,1.0,0.18,0.5,0.9699942141372151,0.8995142522603666,,0.9638854082523056,0.8132783132128829,0.8132783132128829,0.8132783132128829,0.9638854082523056,0.8132783132128829,0.8132783132128829
A033,101,rough_forward,True,workspace/_keep/go2_g_a033_a017_track_lin_vel_xy_150/evaluation/candidate/cases/seed_101/rough_forward/summary.json,0.96875,1.0,0.96875,posture_gate_v2,0.2584487338303933,0.1680558955885583,0.2594722825890756,7.625694124004805,0,1,1,1,True,1.0,0.33589489719642696,0.3473940262979365,0.27799654150391645,0.35939594654877677,1000,0.02,32000,6,posture_gate_v2/both_channels_required/no_v1_fallback/row_and_env_coverage_0.99/missing_rows_not_upright/fall_verdict_unambiguous/finite_kinematics_required,0.359375,0.328125,0.18,0.5,0.7655329721808383,0.8931764402384159,,0.7655329721808383,0.7655329721808383,0.741610066800187,0.741610066800187,0.7655329721808383,0.7655329721808383,0.741610066800187
A033,101,rough_lateral,True,workspace/_keep/go2_g_a033_a017_track_lin_vel_xy_150/evaluation/candidate/cases/seed_101/rough_lateral/summary.json,0.375,0.40625,0.375,posture_gate_v2,0.22947435574292877,0.31164331026593073,0.23247218961673044,1.7854565632517914,19,14,20,20,True,1.0,0.3481342981508684,0.36596396796524844,0.26778634012064195,0.1995558523603209,1000,0.02,32000,6,posture_gate_v2/both_channels_required/no_v1_fallback/row_and_env_coverage_0.99/missing_rows_not_upright/fall_verdict_unambiguous/finite_kinematics_required,0.7109375,0.6953125,0.18,0.5,0.8100705634217098,0.6780825716695041,,0.8100705634217098,0.32909116639006963,0.3037764612831412,0.3037764612831412,0.8100705634217098,0.32909116639006963,0.3037764612831412
A033,101,stairs_10_down,True,workspace/_keep/go2_g_a033_a017_track_lin_vel_xy_150/evaluation/candidate/cases/seed_101/stairs_10_down/summary.json,0.875,0.96875,0.875,posture_gate_v2,0.44881958027595475,0.16209686294625802,0.48855015442578875,2.1256774824907154,1,4,4,4,True,1.0,0.26808322411397323,0.2589127828571248,0.1983773658141733,0.19906291658396527,1000,0.02,32000,6,posture_gate_v2/both_channels_required/no_v1_fallback/row_and_env_coverage_0.99/missing_rows_not_upright/fall_verdict_unambiguous/finite_kinematics_required,0.859375,0.8203125,0.18,0.5,0.44675002787106377,0.9002330795507231,0.21256774824907154,0.21256774824907154,0.20592500611628806,0.1859967797179376,0.1859967797179376,0.44675002787106377,0.43278908950009304,0.3909062743871808
A033,202,forward_nominal,True,workspace/_keep/go2_g_a033_a017_track_lin_vel_xy_150/evaluation/candidate/cases/seed_202/forward_nominal/summary.json,1.0,1.0,1.0,posture_gate_v2,0.11317065119756813,0.11970232817558576,0.07637183880029376,14.95240653433838,0,0,0,0,True,1.0,0.35453478685808293,0.3551515073062264,0.3309511934372193,0.7408689751674717,1000,0.02,32000,6,posture_gate_v2/both_channels_required/no_v1_fallback/row_and_env_coverage_0.99/missing_rows_not_upright/fall_verdict_unambiguous/finite_kinematics_required,0.0,0.0,0.18,0.5,0.9500597656366279,0.9442969567436565,,0.9500597656366279,0.9500597656366279,0.9500597656366279,0.9500597656366279,0.9500597656366279,0.9500597656366279,0.9500597656366279
A033,202,push_pos_x,True,workspace/_keep/go2_g_a033_a017_track_lin_vel_xy_150/evaluation/candidate/cases/seed_202/push_pos_x/summary.json,0.96875,0.96875,0.96875,posture_gate_v2,0.07890279496802033,0.1298807485605107,0.08640468127236738,,1,0,1,1,True,1.0,0.3833614967388069,0.3841874425742715,0.3735910290702779,0.04648939883399484,1000,0.02,32000,6,posture_gate_v2/both_channels_required/no_v1_fallback/row_and_env_coverage_0.99/missing_rows_not_upright/fall_verdict_unambiguous/finite_kinematics_required,1.0,1.0,0.18,0.5,0.975404907728788,0.9347501212729394,,0.9705784201407051,0.940247844511308,0.940247844511308,0.940247844511308,0.9705784201407051,0.940247844511308,0.940247844511308
A033,202,rough_forward,True,workspace/_keep/go2_g_a033_a017_track_lin_vel_xy_150/evaluation/candidate/cases/seed_202/rough_forward/summary.json,1.0,1.0,1.0,posture_gate_v2,0.22387394761607451,0.1557007228187014,0.22653233457757432,8.028433070438917,0,0,0,0,True,1.0,0.3406620916234713,0.34797470144090803,0.29138348893048294,0.3824723040756911,1000,0.02,32000,6,posture_gate_v2/both_channels_required/no_v1_fallback/row_and_env_coverage_0.99/missing_rows_not_upright/fall_verdict_unambiguous/finite_kinematics_required,0.2734375,0.2734375,0.18,0.5,0.8183393478900558,0.9075824523874416,,0.8183393478900558,0.8183393478900558,0.8183393478900558,0.8183393478900558,0.8183393478900558,0.8183393478900558,0.8183393478900558
A033,202,rough_lateral,True,workspace/_keep/go2_g_a033_a017_track_lin_vel_xy_150/evaluation/candidate/cases/seed_202/rough_lateral/summary.json,0.375,0.375,0.375,posture_gate_v2,0.23274150538616975,0.28852646450587804,0.23258290535263568,2.1622610797965907,20,15,20,20,True,1.0,0.34583570352811016,0.36377304720687353,0.26724979424859113,0.19520810897684968,1000,0.02,32000,6,posture_gate_v2/both_channels_required/no_v1_fallback/row_and_env_coverage_0.99/missing_rows_not_upright/fall_verdict_unambiguous/finite_kinematics_required,0.765625,0.765625,0.18,0.5,0.8051920703479749,0.7167773024862235,,0.8051920703479749,0.3019470263804906,0.3019470263804906,0.3019470263804906,0.8051920703479749,0.3019470263804906,0.3019470263804906
A033,202,stairs_10_down,True,workspace/_keep/go2_g_a033_a017_track_lin_vel_xy_150/evaluation/candidate/cases/seed_202/stairs_10_down/summary.json,0.53125,0.9375,0.53125,posture_gate_v2,0.4399607022461985,0.15820334398358554,0.4766005392292089,2.2166991033824135,2,14,15,15,True,1.0,0.260651339686989,0.26256378022904064,0.1584582057866183,0.18023850488225107,1000,0.02,32000,6,posture_gate_v2/both_channels_required/no_v1_fallback/row_and_env_coverage_0.99/missing_rows_not_upright/fall_verdict_unambiguous/finite_kinematics_required,0.8828125,0.71875,0.18,0.5,0.4610440542974796,0.9047350033030804,0.22166991033824135,0.22166991033824135,0.20781554094210125,0.11776213986719072,0.11776213986719072,0.4610440542974796,0.4322288009038871,0.24492965384553603
