arm,seed,case,env_id,fall_by_height_channel,fall_by_tilt_channel,fall_by_either,max_continuous_low_height_s,max_continuous_tilted_s,terrain_z_min,terrain_z_max,terrain_z_span_m
A033,101,stairs_10_down,0,0,0,0,0.26,0.0,-0.7000008343375302,-0.5406420396611015,0.15935879467642877
A033,101,stairs_10_down,1,0,0,0,0.0,0.0,-0.7000007629394531,-0.4481278893781856,0.25187287356126753
A033,101,stairs_10_down,2,1,0,1,1.72,0.0,-0.700000824137805,-0.5133692899489786,0.1866315341888264
A033,101,stairs_10_down,3,0,0,0,0.0,0.0,-0.7000014055221476,-0.5342246172899868,0.1657767882321608
A033,101,stairs_10_down,4,0,0,0,0.12,0.0,-0.7000017013141816,-0.2395725454238647,0.4604291558903169
A033,101,stairs_10_down,5,0,0,0,0.0,0.0,-0.7000015993169285,-0.5128342123592601,0.18716738695766844
A033,101,stairs_10_down,6,0,0,0,0.0,0.0,-0.7000016605152803,-0.5096258581640886,0.19037580235119178
A033,101,stairs_10_down,7,0,0,0,0.22,0.0,-0.7000016299161044,-0.44171114018894136,0.258290489727163
A033,101,stairs_10_down,8,0,0,0,0.3,0.0,-0.7000013239243451,-0.24331515103100457,0.45668617289334057
A033,101,stairs_10_down,9,0,0,0,0.0,0.0,-0.7000013239243451,-0.5326203432950106,0.16738098062933449
A033,101,stairs_10_down,10,0,0,0,0.2,0.0,-0.7000012627259933,-0.025669148899017172,0.6743321138269761
A033,101,stairs_10_down,11,0,0,0,0.06,0.0,-0.6989308117545224,-0.5347592970904183,0.16417151466410418
A033,101,stairs_10_down,12,0,0,0,0.12,0.0,-0.7000003549504408,-0.339571764124906,0.3604285908255348
A033,101,stairs_10_down,13,0,0,0,0.12,0.0,-0.7000003243512648,-0.41016005449754034,0.28984026985372446
A033,101,stairs_10_down,14,0,0,0,0.18,0.0,-0.7000002223540117,-0.5160428623464656,0.18395736000754614
A033,101,stairs_10_down,15,0,0,0,0.04,0.0,-0.7000012831254439,-0.5438501796620415,0.15615110346340233
A033,101,stairs_10_down,16,0,0,0,0.0,0.0,-0.7000013035248945,-0.4304809264320741,0.26952037709282045
A033,101,stairs_10_down,17,0,0,0,0.22,0.0,-0.7000012321268173,-0.43529390141288227,0.26470733071393504
A033,101,stairs_10_down,18,0,0,0,0.34,0.0,-0.7000010791309377,-0.3251336347610555,0.3748674443698822
A033,101,stairs_10_down,19,0,0,0,0.02,0.0,-0.7000013137246198,-0.5122995937571806,0.18770171996743923
A033,101,stairs_10_down,20,0,0,0,0.2,0.0,-0.7000013137246198,-0.23529359746106807,0.4647077162635518
A033,101,stairs_10_down,21,0,0,0,0.0,0.0,-0.7000012117273667,-0.5374332366780163,0.1625679750493504
A033,101,stairs_10_down,22,1,0,1,2.1,0.0,-0.7000012933251692,-0.39518693934149923,0.30481435398367
A033,101,stairs_10_down,23,0,0,0,0.1,0.0,-0.6978619417404746,-0.32513335936847215,0.3727285823720024
A033,101,stairs_10_down,24,0,0,0,0.38,0.0,-0.6962583613268194,-0.2315508898566751,0.4647074714701443
A033,101,stairs_10_down,25,0,0,0,0.4,0.0,-0.7000015789174778,-0.4283421664314474,0.2716594124860304
A033,101,stairs_10_down,26,1,0,1,0.56,0.0,-0.7000016503155551,-0.5048127403871261,0.19518890992842897
A033,101,stairs_10_down,27,1,1,1,1.88,1.8,-0.696792949329723,-0.41229933468415775,0.2844936146455653
A033,101,stairs_10_down,28,0,0,0,0.34,0.0,-0.7000014361213235,-0.5224601521211512,0.17754128400017233
A033,101,stairs_10_down,29,0,0,0,0.0,0.0,-0.7000008037383544,-0.3967913357331791,0.3032094680051753
A033,101,stairs_10_down,30,0,0,0,0.3,0.0,-0.7000016707150056,-0.06844923457997368,0.631552436135032
