arm,seed,case,n_envs,envs_fall_height_only,envs_fall_tilt_only,envs_fall_both_channels,envs_fall_either,max_terrain_z_span_m,mean_terrain_z_span_m
A033,101,stairs_10_down,32,3,0,1,4,0.6743321138269761,0.3032599228588655
A033,202,stairs_10_down,32,12,0,2,14,0.6994660729392964,0.27951338170046475
A033,303,stairs_10_down,32,12,1,1,14,0.6192518326050457,0.31311964383099805
A038,101,stairs_10_down,32,28,0,4,32,0.1764722915894208,0.1485974559171952
A038,202,stairs_10_down,32,32,0,0,32,0.18770111818364588,0.1367992752376087
A038,303,stairs_10_down,32,28,0,4,32,0.19732657855844749,0.1437510366745811
A033,101,rough_lateral,32,0,9,5,14,0.022168337980056185,0.008520375917302096
A033,202,rough_lateral,32,0,8,7,15,0.032557716981612424,0.007902122755101658
A033,303,rough_lateral,32,0,13,3,16,0.030439142237372575,0.008962447949271788
A038,101,rough_lateral,32,1,0,2,3,0.04840679474692931,0.010421290435893012
A038,202,rough_lateral,32,0,2,0,2,0.03185346674791632,0.008002596742966597
A038,303,rough_lateral,32,0,1,3,4,0.04602272115289208,0.008009378922814354
