arm,seed,case,env_id,rows,upright_frac,height_rel_mean,height_rel_min,height_rel_mean_last200,proj_grav_z_mean,proj_grav_z_min,proj_grav_z_mean_last200,speed_xy_mean,speed_xy_mean_last200,first_height_rel_below_0p18_step,terminated_any,term_base_contact_any,net_dx_m,net_dy_m,net_dxy_m,terrain_z_first,terrain_z_last,terrain_z_climb_m,root_z_first,root_z_last
A033,101,rough_lateral,0,1000,1.0,0.33382624156701357,0.20896164268095863,0.30220773329591955,-0.9764630214571953,-1.0,-0.9496715172606321,0.13101764740901628,0.20543343710007972,,0,0,0.5271141529083252,-0.030920982360839844,0.5280203001272021,0.05758467077571441,0.05887199850643382,0.0012873277307194134,0.4997723400592804,0.5
A033,101,rough_lateral,1,1000,0.956,0.36919760992166795,0.11595286022533069,0.32295194867730065,-0.9230992853045463,-1.0,-0.6414389957242937,0.1792734331896628,0.228850376064931,960,1,1,-0.0055601149797439575,-0.6726818084716797,0.6727047869067958,0.060427558613333474,0.057404951615767044,-0.0030226069975664294,0.4997803270816803,0.5
A033,101,rough_lateral,2,1000,0.918,0.33239056686300034,0.09942101834610823,0.34084124417187267,-0.8672783989310264,-1.0,-0.9767993819061204,0.24496471440147735,0.24965572380464496,72,1,1,-0.101515993475914,-0.4225139617919922,0.43453831228162937,0.05922250186695772,0.056063269548875125,-0.003159232318082593,0.49976006150245667,0.43974989652633667
A033,101,rough_lateral,3,1000,1.0,0.3843286339191191,0.254449023919947,0.37967484008191693,-0.9907474265694618,-1.0,-0.995877882141379,0.17712962710626265,0.20654332113800122,,0,0,-0.6194862425327301,0.45188045501708984,0.7667849439795833,0.05898600083621428,0.0590808072829629,9.48064467486201e-05,0.5000829696655273,0.5
A033,101,rough_lateral,4,1000,0.932,0.3233576184778133,0.11727559168071033,0.32898932524838354,-0.9053566154241562,-1.0,-0.9792462112891733,0.24296033109499093,0.29623984279256443,348,1,1,1.1487452983856201,0.04296398162841797,1.1495484610404358,0.05866846298788958,0.06134762483484605,0.0026791618469564696,0.49971744418144226,0.3681459426879883
A033,101,rough_lateral,5,1000,1.0,0.3664846587058371,0.21741438182917508,0.35639566839998826,-0.9894938908815384,-1.0,-0.9890593397083567,0.1546560710960212,0.16818919096932855,,0,0,-0.002928808331489563,0.2094707489013672,0.20949122311815888,0.05887180471165295,0.05807170765922669,-0.0008000970524262643,0.5001752376556396,0.5
A033,101,rough_lateral,6,1000,0.985,0.36674014999920657,0.11460341266132293,0.37186482767154627,-0.9649265822768212,-1.0,-0.9839537297908346,0.17767299617079696,0.09494844075384597,443,1,1,1.455725371837616,1.1958208084106445,1.883911824911042,0.05837226296491164,0.061735102199615643,0.0033628392347040056,0.499834805727005,0.4430080056190491
A033,101,rough_lateral,7,1000,0.981,0.34778751044923606,0.21031709278331084,0.28891819278062963,-0.956372299194336,-1.0,-0.8347149108772847,0.1480645695575285,0.1987549705474604,,0,0,0.259035162627697,0.011097908020019531,0.2592727888537057,0.05933717737860858,0.059588019223136696,0.00025084184452811575,0.4999549686908722,0.5
A033,101,rough_lateral,8,1000,0.894,0.3455062460463473,0.10086634444361703,0.300473606351444,-0.813001895070076,-1.0,-0.4982349733215066,0.22746452942909492,0.33640805416291897,439,1,1,-0.5005027800798416,0.14345002174377441,0.5206543398512488,0.05882837428128656,0.05777447746399252,-0.0010538968172940366,0.49991297721862793,0.4482247233390808
A033,101,rough_lateral,9,1000,1.0,0.3692586453174527,0.22249743135217676,0.3512227647259245,-0.9867097168564797,-1.0,-0.968348314809562,0.18845134063211477,0.2258904875631276,,0,0,0.007118787616491318,0.1321420669555664,0.13233368050658195,0.05794606744286848,0.056387376020298925,-0.0015586914225695567,0.5000296235084534,0.5
