arm,seed,case,env_id,rows,upright_frac,height_rel_mean,height_rel_min,height_rel_mean_last200,proj_grav_z_mean,proj_grav_z_min,proj_grav_z_mean_last200,speed_xy_mean,speed_xy_mean_last200,first_height_rel_below_0p18_step,terminated_any,term_base_contact_any,net_dx_m,net_dy_m,net_dxy_m,terrain_z_first,terrain_z_last,terrain_z_climb_m,root_z_first,root_z_last
A033,101,stairs_10_down,0,1000,0.987,0.2840048935332882,0.1670597354996013,0.29400983129496405,-0.9629081382155419,-1.0,-0.941476834947197,0.14457673569179302,0.036162689685670664,284,0,0,0.2138238251209259,0.2921724319458008,0.3620571200494031,-0.6973276903285063,-0.7000008343375302,-0.0026731440090239644,-0.3005020320415497,-0.29999998211860657
A033,101,stairs_10_down,1,1000,1.0,0.28123528932369635,0.19594813365349795,0.26808588594173643,-0.9842155813574791,-1.0,-0.9841358611239722,0.14662374612624943,0.057279280838664966,,0,0,-0.32934699952602386,-0.2871723175048828,0.4369638269215428,-0.696257586147696,-0.7000007629394531,-0.0037431767917571745,-0.3006337285041809,-0.29999998211860657
A033,101,stairs_10_down,2,1000,0.665,0.21769012003316301,0.15116685023282306,0.17577701459419515,-0.9810017758011818,-1.0,-0.9821320858167771,0.20557673589275602,0.10959654999840601,311,0,0,-0.12721630930900574,0.7054901123046875,0.7168683895345681,-0.6983967133384338,-0.700000824137805,-0.0016041107993711723,-0.30046164989471436,-0.29999998211860657
A033,101,stairs_10_down,3,1000,1.0,0.237851510604913,0.18310375647111377,0.2225486384475019,-0.9877621729969979,-1.0,-0.9866915606147614,0.20506905893362623,0.16452204884842186,,0,0,-0.3639315664768219,0.42037391662597656,0.5560219553738296,-0.7000013953224223,-0.7000008547369809,5.405854414108902e-07,-0.3004383444786072,-0.29999998211860657
A033,101,stairs_10_down,4,1000,0.994,0.2427189728588061,0.1744628229880716,0.23613388595574727,-0.9820906897783279,-1.0,-0.9839167541532374,0.21998802584054244,0.11187703942214745,169,0,0,0.009168088436126709,-0.10432147979736328,0.10472356464847973,-0.7000007935386291,-0.7000008649367062,-7.139807711720181e-08,-0.30058547854423523,-0.29999998211860657
A033,101,stairs_10_down,5,1000,1.0,0.2720865811259352,0.19748674994483983,0.24308559435804064,-0.9768731427192688,-1.0,-0.9727261484558902,0.18029631036016544,0.10938932396071586,,0,0,-0.057167068123817444,0.45929431915283203,0.4628383576195222,-0.7000007425400026,-0.7000009057356075,-1.6319560491862006e-07,-0.30015939474105835,-0.29999998211860657
A033,101,stairs_10_down,6,1000,1.0,0.27308670618763575,0.18645523289308186,0.24813100137217903,-0.9779405925273895,-1.0,-0.9740342826985601,0.2011606296574249,0.10529824935808559,,0,0,0.10579177737236023,0.17783546447753906,0.2069235428498775,-0.6962578819397299,-0.7000008037383544,-0.0037429217986244545,-0.3004637062549591,-0.29999998211860657
A033,101,stairs_10_down,7,1000,0.984,0.2792891909921547,0.16606281052298721,0.2574334404200032,-0.9876395903229713,-1.0,-0.9934677843430743,0.20429145199951299,0.09312049278989352,269,0,0,0.2911303788423538,-0.061280250549316406,0.29750994368639083,-0.6941187343495415,-0.6967923067470285,-0.0026735723974870007,-0.30035191774368286,-0.29999998211860657
A033,101,stairs_10_down,8,1000,0.985,0.2596405476173669,0.15564877368549612,0.2356121722188648,-0.9851119328737259,-1.0,-0.9833459842264356,0.20660200128612638,0.05670568174305479,200,0,0,-0.2742595970630646,-0.43291378021240234,0.5124769923411067,-0.700000558944947,-0.6973264561617438,0.002674102783203125,-0.30052435398101807,-0.29999998211860657
A033,101,stairs_10_down,9,1000,1.0,0.2467906351961236,0.18532983185773222,0.20891659926362147,-0.9890877568721771,-1.0,-0.9895350372613366,0.21597011055537096,0.1696308311601855,,0,0,0.017837148159742355,0.7653889656066895,0.7655967819465744,-0.700000926135058,-0.6983960707557393,0.0016048553793187592,-0.3003740906715393,-0.29999998211860657
A033,101,stairs_10_down,10,1000,0.99,0.2856642944038676,0.16902140006024569,0.2850909380586491,-0.9872877671122551,-1.0,-0.9930312378489556,0.31161858123740693,0.2115037944351313,202,0,0,0.27225348353385925,-0.23774075508117676,0.36144519075911,-0.6935831569732829,-0.7000004875468698,-0.006417330573586955,-0.30078527331352234,-0.29999998211860657
A033,101,stairs_10_down,11,1000,0.997,0.304548647661499,0.1774403832175515,0.26120704922208726,-0.9536405246853829,-1.0,-0.9697197067796888,0.1165928242293462,0.08960870647746157,122,0,0,-0.46107572317123413,-0.7349576950073242,0.8676137596582684,-0.6983967337378844,-0.6989308117545224,-0.0005340780166380732,-0.3006655275821686,-0.29999998211860657
A033,101,stairs_10_down,12,1000,0.982,0.26384329507344495,0.17384648841013883,0.2576751688854903,-0.9729574132561684,-1.0,-0.9490678126539164,0.22809675064215723,0.150024905832323,150,0,0,-0.47036588191986084,-0.1278698444366455,0.4874369292436719,-0.6994657159489106,-0.7000003549504408,-0.0005346390015301683,-0.300884872674942,-0.29999998211860657
