scenario,case,seed,survival_base,survival_cand,survival_delta,tracking_base,tracking_cand,proxy_base,proxy_cand,proxy_delta
G1,forward_fast,101,1.00000,1.00000,0.00000,0.87853,0.92229,0.87853,0.92229,0.04377
G1,forward_fast,202,1.00000,1.00000,0.00000,0.88309,0.92238,0.88309,0.92238,0.03929
G1,forward_fast,303,1.00000,1.00000,0.00000,0.88070,0.92125,0.88070,0.92125,0.04055
G1,forward_nominal,101,1.00000,1.00000,0.00000,0.94937,0.95481,0.94937,0.95481,0.00544
G1,forward_nominal,202,1.00000,1.00000,0.00000,0.95006,0.95481,0.95006,0.95481,0.00475
G1,forward_nominal,303,1.00000,1.00000,0.00000,0.95043,0.95414,0.95043,0.95414,0.00371
G1,forward_slow,101,1.00000,1.00000,0.00000,0.90492,0.93761,0.90492,0.93761,0.03269
G1,forward_slow,202,1.00000,1.00000,0.00000,0.91329,0.94178,0.91329,0.94178,0.02849
G1,forward_slow,303,1.00000,1.00000,0.00000,0.90063,0.92634,0.90063,0.92634,0.02571
G2,backward,101,1.00000,1.00000,0.00000,0.97596,0.98006,0.97596,0.98006,0.00410
G2,backward,202,1.00000,1.00000,0.00000,0.97706,0.98024,0.97706,0.98024,0.00317
G2,backward,303,1.00000,1.00000,0.00000,0.97574,0.97948,0.97574,0.97948,0.00374
G2,combined_yaw_left,101,1.00000,1.00000,0.00000,0.93416,0.94275,0.93416,0.94275,0.00859
G2,combined_yaw_left,202,1.00000,1.00000,0.00000,0.93506,0.94095,0.93506,0.94095,0.00589
G2,combined_yaw_left,303,1.00000,1.00000,0.00000,0.93116,0.94195,0.93116,0.94195,0.01079
G2,combined_yaw_right,101,1.00000,0.71875,-0.28125,0.88629,0.69328,0.88629,0.49830,-0.38799
G2,combined_yaw_right,202,1.00000,0.71875,-0.28125,0.89389,0.76255,0.89389,0.54808,-0.34581
G2,combined_yaw_right,303,1.00000,0.65625,-0.34375,0.87742,0.66409,0.87742,0.43581,-0.44161
G2,diagonal_left,101,1.00000,1.00000,0.00000,0.90449,0.94555,0.90449,0.94555,0.04106
G2,diagonal_left,202,1.00000,1.00000,0.00000,0.90963,0.94726,0.90963,0.94726,0.03763
G2,diagonal_left,303,1.00000,1.00000,0.00000,0.89753,0.94173,0.89753,0.94173,0.04420
G2,diagonal_right,101,1.00000,1.00000,0.00000,0.93961,0.97276,0.93961,0.97276,0.03315
G2,diagonal_right,202,1.00000,1.00000,0.00000,0.94545,0.97311,0.94545,0.97311,0.02766
G2,diagonal_right,303,1.00000,1.00000,0.00000,0.93772,0.97344,0.93772,0.97344,0.03572
G2,left,101,1.00000,1.00000,0.00000,0.95649,0.95682,0.95649,0.95682,0.00033
G2,left,202,0.93750,1.00000,0.06250,0.94536,0.95622,0.88628,0.95622,0.06995
G2,left,303,0.93750,0.96875,0.03125,0.95458,0.95063,0.89492,0.92092,0.02600
G2,right,101,1.00000,0.96875,-0.03125,0.97409,0.97636,0.97409,0.94585,-0.02824
G2,right,202,1.00000,1.00000,0.00000,0.97329,0.98354,0.97329,0.98354,0.01025
G2,right,303,1.00000,1.00000,0.00000,0.97503,0.98350,0.97503,0.98350,0.00847
G3,rough_forward,101,0.96875,0.96875,0.00000,0.76553,0.85513,0.74161,0.82841,0.08680
G3,rough_forward,202,1.00000,0.90625,-0.09375,0.81834,0.88160,0.81834,0.79895,-0.01939
G3,rough_forward,303,0.90625,0.93750,0.03125,0.77160,0.84758,0.69926,0.79461,0.09535
G3,rough_lateral,101,0.37500,0.75000,0.37500,0.81007,0.81405,0.30378,0.61054,0.30676
G3,rough_lateral,202,0.37500,0.65625,0.28125,0.80519,0.80694,0.30195,0.52956,0.22761
G3,rough_lateral,303,0.40625,0.84375,0.43750,0.81279,0.80874,0.33020,0.68237,0.35217
G4,slope_minus_20,101,1.00000,1.00000,0.00000,0.91157,0.92731,0.91157,0.92731,0.01573
G4,slope_minus_20,202,1.00000,1.00000,0.00000,0.91238,0.93112,0.91238,0.93112,0.01874
G4,slope_minus_20,303,1.00000,1.00000,0.00000,0.89928,0.92969,0.89928,0.92969,0.03042
G4,slope_plus_20,101,1.00000,1.00000,0.00000,0.92998,0.94188,0.92998,0.94188,0.01190
G4,slope_plus_20,202,1.00000,1.00000,0.00000,0.85883,0.95041,0.85883,0.95041,0.09158
G4,slope_plus_20,303,1.00000,1.00000,0.00000,0.93320,0.94612,0.93320,0.94612,0.01292
G5,stairs_10_down,101,0.87500,0.87500,0.00000,0.21257,0.49778,0.18600,0.43555,0.24956
G5,stairs_10_down,202,0.53125,0.81250,0.28125,0.22167,0.75631,0.11776,0.61450,0.49674
G5,stairs_10_down,303,0.53125,0.78125,0.25000,0.22154,0.47917,0.11769,0.37435,0.25666
G5,stairs_10_up,101,1.00000,1.00000,0.00000,0.72745,0.82258,0.72745,0.82258,0.09513
G5,stairs_10_up,202,0.96875,1.00000,0.03125,0.65537,0.82562,0.63489,0.82562,0.19073
G5,stairs_10_up,303,1.00000,0.96875,-0.03125,0.72676,0.79062,0.72676,0.76591,0.03916
G5,stairs_15_down,101,0.12500,0.46875,0.34375,0.14849,0.32863,0.01856,0.15405,0.13548
G5,stairs_15_down,202,0.03125,0.50000,0.46875,0.13632,0.31367,0.00426,0.15683,0.15257
G5,stairs_15_down,303,0.03125,0.50000,0.46875,0.14265,0.32871,0.00446,0.16436,0.15990
G5,stairs_15_up,101,0.84375,0.93750,0.09375,0.70736,0.78012,0.59683,0.73136,0.13453
G5,stairs_15_up,202,0.78125,0.84375,0.06250,0.67675,0.74920,0.52871,0.63214,0.10343
G5,stairs_15_up,303,0.84375,0.87500,0.03125,0.72482,0.75551,0.61156,0.66107,0.04950
G6,push_neg_x,101,0.90625,0.93750,0.03125,0.96644,0.95928,0.87584,0.89932,0.02349
G6,push_neg_x,202,1.00000,1.00000,0.00000,0.97141,0.96149,0.97141,0.96149,-0.00992
G6,push_neg_x,303,0.90625,0.93750,0.03125,0.96285,0.95815,0.87259,0.89827,0.02568
G6,push_neg_y,101,0.93750,1.00000,0.06250,0.96845,0.96165,0.90792,0.96165,0.05373
G6,push_neg_y,202,0.93750,0.93750,0.00000,0.96849,0.95848,0.90796,0.89857,-0.00939
G6,push_neg_y,303,1.00000,0.93750,-0.06250,0.97227,0.95646,0.97227,0.89668,-0.07559
G6,push_pos_x,101,0.84375,1.00000,0.15625,0.96389,0.95960,0.81328,0.95960,0.14632
G6,push_pos_x,202,0.96875,0.96875,0.00000,0.97058,0.96726,0.94025,0.93703,-0.00321
G6,push_pos_x,303,0.93750,0.96875,0.03125,0.96725,0.96300,0.90680,0.93290,0.02610
G6,push_pos_y,101,0.96875,1.00000,0.03125,0.97113,0.96668,0.94078,0.96668,0.02590
G6,push_pos_y,202,0.93750,1.00000,0.06250,0.96494,0.96646,0.90463,0.96646,0.06183
G6,push_pos_y,303,0.96875,1.00000,0.03125,0.97253,0.96453,0.94214,0.96453,0.02238
G7,dr_seed_101,101,1.00000,0.90625,-0.09375,0.72978,0.84029,0.72978,0.76152,0.03174
G7,dr_seed_202,202,0.96875,0.90625,-0.06250,0.75892,0.84630,0.73520,0.76696,0.03176
G7,dr_seed_303,303,1.00000,1.00000,0.00000,0.75140,0.83657,0.75140,0.83657,0.08517
