key,shown
target_mean_proxy_delta,+0.088
group_mean_delta:rough_lateral,+0.356
group_mean_delta:push_pos_x,+0.049
group_mean_delta:stairs_10_climb,-0.140
speed_g_a033:G3:rough_lateral:101,0.20
speed_g_a038:G3:rough_lateral:101,0.16
speed_g_a033:G3:rough_lateral:202,0.20
speed_g_a038:G3:rough_lateral:202,0.16
speed_g_a033:G3:rough_lateral:303,0.19
speed_g_a038:G3:rough_lateral:303,0.15
speed_g_a033:G6:push_pos_x:101,0.05
speed_g_a038:G6:push_pos_x:101,0.05
speed_g_a033:G6:push_pos_x:202,0.05
speed_g_a038:G6:push_pos_x:202,0.05
speed_g_a033:G6:push_pos_x:303,0.05
speed_g_a038:G6:push_pos_x:303,0.05
speed_g_a033:G5:stairs_10_down:101,0.20
speed_g_a038:G5:stairs_10_down:101,0.10
speed_g_a033:G5:stairs_10_down:202,0.18
speed_g_a038:G5:stairs_10_down:202,0.09
speed_g_a033:G5:stairs_10_down:303,0.19
speed_g_a038:G5:stairs_10_down:303,0.10
upright_fraction:G-A033:101:0,1.000
height_rel_mean:G-A033:101:0,0.366
upright_fraction:G-A033:101:2,0.964
height_rel_mean:G-A033:101:2,0.291
upright_fraction:G-A033:101:4,0.945
height_rel_mean:G-A033:101:4,0.251
upright_fraction:G-A033:101:6,0.949
height_rel_mean:G-A033:101:6,0.248
upright_fraction:G-A033:101:8,0.979
height_rel_mean:G-A033:101:8,0.257
upright_fraction:G-A033:101:10,0.972
height_rel_mean:G-A033:101:10,0.255
upright_fraction:G-A033:101:12,0.948
height_rel_mean:G-A033:101:12,0.255
upright_fraction:G-A033:101:14,0.939
height_rel_mean:G-A033:101:14,0.252
upright_fraction:G-A033:101:16,0.909
height_rel_mean:G-A033:101:16,0.251
upright_fraction:G-A033:101:18,0.918
height_rel_mean:G-A033:101:18,0.254
upright_fraction:G-A033:101:20,1.000
height_rel_mean:G-A033:101:20,0.396
upright_fraction:G-A033:202:0,1.000
height_rel_mean:G-A033:202:0,0.362
upright_fraction:G-A033:202:2,0.943
height_rel_mean:G-A033:202:2,0.281
upright_fraction:G-A033:202:4,0.917
height_rel_mean:G-A033:202:4,0.245
upright_fraction:G-A033:202:6,0.928
height_rel_mean:G-A033:202:6,0.246
upright_fraction:G-A033:202:8,0.903
height_rel_mean:G-A033:202:8,0.245
upright_fraction:G-A033:202:10,0.795
height_rel_mean:G-A033:202:10,0.244
upright_fraction:G-A033:202:12,0.789
height_rel_mean:G-A033:202:12,0.246
upright_fraction:G-A033:202:14,0.766
height_rel_mean:G-A033:202:14,0.244
upright_fraction:G-A033:202:16,0.774
height_rel_mean:G-A033:202:16,0.246
upright_fraction:G-A033:202:18,0.775
height_rel_mean:G-A033:202:18,0.247
upright_fraction:G-A033:202:20,1.000
height_rel_mean:G-A033:202:20,0.388
upright_fraction:G-A033:303:0,1.000
height_rel_mean:G-A033:303:0,0.366
upright_fraction:G-A033:303:2,0.973
height_rel_mean:G-A033:303:2,0.287
upright_fraction:G-A033:303:4,0.945
height_rel_mean:G-A033:303:4,0.250
upright_fraction:G-A033:303:6,0.859
height_rel_mean:G-A033:303:6,0.241
upright_fraction:G-A033:303:8,0.808
height_rel_mean:G-A033:303:8,0.234
upright_fraction:G-A033:303:10,0.739
height_rel_mean:G-A033:303:10,0.230
upright_fraction:G-A033:303:12,0.708
height_rel_mean:G-A033:303:12,0.231
