arm,seed,t_from_s,t_to_s,upright_fraction,height_rel_mean,speed_xy_mean,proj_grav_z_mean,rows
G-A033,101,0,2,1.000000,0.365858,0.353719,-0.990756,3168
G-A033,101,2,4,0.964375,0.290900,0.379553,-0.985555,3200
G-A033,101,4,6,0.944688,0.251363,0.289092,-0.979833,3200
G-A033,101,6,8,0.949063,0.248340,0.196978,-0.973994,3200
G-A033,101,8,10,0.979375,0.256655,0.176544,-0.974259,3200
G-A033,101,10,12,0.971875,0.254706,0.129298,-0.970840,3200
G-A033,101,12,14,0.948438,0.255140,0.115767,-0.970108,3200
G-A033,101,14,16,0.938750,0.252208,0.124950,-0.967315,3200
G-A033,101,16,18,0.909062,0.250979,0.116351,-0.943436,3200
G-A033,101,18,20,0.917813,0.254382,0.111773,-0.966592,3200
G-A033,101,20,22,1.000000,0.395907,0.014082,-0.999732,32
G-A033,202,0,2,0.999684,0.362339,0.365009,-0.990411,3168
G-A033,202,2,4,0.943125,0.280642,0.359305,-0.985086,3200
G-A033,202,4,6,0.916562,0.244949,0.248078,-0.981234,3200
G-A033,202,6,8,0.928125,0.245566,0.178385,-0.971920,3200
G-A033,202,8,10,0.903125,0.245002,0.111777,-0.960792,3200
G-A033,202,10,12,0.795000,0.244196,0.114950,-0.936946,3200
G-A033,202,12,14,0.789062,0.246410,0.142187,-0.949002,3200
G-A033,202,14,16,0.765938,0.244048,0.100411,-0.911808,3200
G-A033,202,16,18,0.774062,0.246104,0.096707,-0.917939,3200
G-A033,202,18,20,0.775000,0.247002,0.089113,-0.918391,3200
G-A033,202,20,22,1.000000,0.387642,0.011278,-0.999319,32
G-A033,303,0,2,0.999684,0.365917,0.343464,-0.990516,3168
G-A033,303,2,4,0.973437,0.287119,0.367057,-0.985120,3200
G-A033,303,4,6,0.944688,0.249505,0.283721,-0.981818,3200
G-A033,303,6,8,0.859062,0.240679,0.215540,-0.970923,3200
G-A033,303,8,10,0.807813,0.233589,0.165823,-0.946450,3200
G-A033,303,10,12,0.739062,0.229852,0.133492,-0.946354,3200
G-A033,303,12,14,0.708438,0.231165,0.118900,-0.953537,3200
G-A033,303,14,16,0.694688,0.224482,0.108224,-0.946153,3200
G-A033,303,16,18,0.695625,0.227226,0.098305,-0.940363,3200
G-A033,303,18,20,0.694688,0.231197,0.092375,-0.948836,3200
G-A033,303,20,22,1.000000,0.384490,0.010228,-0.997608,32
G-A038,101,0,2,0.998106,0.324662,0.309039,-0.995326,3168
G-A038,101,2,4,0.802813,0.248625,0.286624,-0.991736,3200
G-A038,101,4,6,0.417187,0.185525,0.150422,-0.981265,3200
G-A038,101,6,8,0.281562,0.166477,0.085465,-0.969848,3200
G-A038,101,8,10,0.195625,0.158199,0.064349,-0.923751,3200
G-A038,101,10,12,0.162188,0.155010,0.040782,-0.882864,3200
G-A038,101,12,14,0.135625,0.149367,0.026443,-0.864953,3200
G-A038,101,14,16,0.114062,0.146360,0.022404,-0.855446,3200
G-A038,101,16,18,0.111562,0.144120,0.022459,-0.844986,3200
G-A038,101,18,20,0.106250,0.143222,0.016268,-0.843364,3200
G-A038,101,20,22,0.968750,0.390605,0.000476,-0.999122,32
G-A038,202,0,2,1.000000,0.323878,0.312801,-0.995918,3168
G-A038,202,2,4,0.770625,0.243213,0.281210,-0.990703,3200
G-A038,202,4,6,0.399375,0.179012,0.135895,-0.978551,3200
G-A038,202,6,8,0.308125,0.166424,0.055024,-0.953444,3200
G-A038,202,8,10,0.282500,0.161646,0.042247,-0.945230,3200
G-A038,202,10,12,0.262188,0.157259,0.030752,-0.934787,3200
G-A038,202,12,14,0.249688,0.154734,0.023197,-0.921177,3200
G-A038,202,14,16,0.291250,0.153502,0.020444,-0.905810,3200
G-A038,202,16,18,0.235000,0.152363,0.021932,-0.896946,3200
G-A038,202,18,20,0.234063,0.151383,0.023151,-0.896617,3200
G-A038,202,20,22,1.000000,0.398898,0.000000,-1.000000,32
G-A038,303,0,2,0.997790,0.323978,0.300929,-0.995651,3168
G-A038,303,2,4,0.778438,0.246616,0.273260,-0.989998,3200
G-A038,303,4,6,0.426563,0.182738,0.138689,-0.976202,3200
G-A038,303,6,8,0.311875,0.167695,0.092662,-0.961070,3200
G-A038,303,8,10,0.205625,0.156450,0.045558,-0.934891,3200
G-A038,303,10,12,0.109687,0.149552,0.021883,-0.909216,3200
G-A038,303,12,14,0.099062,0.147586,0.024980,-0.884343,3200
G-A038,303,14,16,0.076250,0.145377,0.019387,-0.862518,3200
G-A038,303,16,18,0.095937,0.143709,0.017548,-0.843791,3200
G-A038,303,18,20,0.085625,0.142263,0.023257,-0.831915,3200
G-A038,303,20,22,1.000000,0.398446,0.000000,-1.000000,32
