term,from,to,margin_from,margin,delta,zone,per_unit,edge_weight,range_status
track_lin_vel_xy_exp,1.5,1.4,0.1359,0.0917,-0.0442,WALK,0.441913,1.22752,OBSERVED
track_lin_vel_xy_exp,1.5,1.6,0.1359,0.1801,+0.0442,WALK,0.441913,1.22752,OUT_OF_RANGE
track_lin_vel_xy_exp,1.5,2.0,0.1359,0.3569,+0.2210,WALK,0.441913,1.22752,OUT_OF_RANGE
lin_vel_z_l2,-2.0,-3.0,0.1359,0.1118,-0.0242,WALK,0.0241556,-6.98491,OUT_OF_RANGE
lin_vel_z_l2,-2.0,-1.75,0.1359,0.1420,+0.0060,WALK,0.0241556,-6.98491,BETWEEN_OBSERVED
lin_vel_z_l2,-2.0,-1.5,0.1359,0.1480,+0.0121,WALK,0.0241556,-6.98491,OBSERVED
lin_vel_z_l2,-2.0,-1.0,0.1359,0.1601,+0.0242,WALK,0.0241556,-6.98491,OUT_OF_RANGE
lin_vel_z_l2,-2.0,-0.5,0.1359,0.1721,+0.0362,WALK,0.0241556,-6.98491,OUT_OF_RANGE
ang_vel_xy_l2,-0.05,-0.08,0.1359,0.0728,-0.0631,WALK,2.10356,-0.107243,OUT_OF_RANGE
ang_vel_xy_l2,-0.05,-0.1,0.1359,0.0307,-0.1052,WALK,2.10356,-0.107243,OUT_OF_RANGE
ang_vel_xy_l2,-0.05,-0.15,0.1359,-0.0744,-0.2104,STOP,2.10356,-0.107243,OUT_OF_RANGE
ang_vel_xy_l2,-0.05,-0.02,0.1359,0.1990,+0.0631,WALK,2.10356,-0.107243,OUT_OF_RANGE
ang_vel_xy_l2,-0.05,-0.04,0.1359,0.1569,+0.0210,WALK,2.10356,-0.107243,OUT_OF_RANGE
ang_vel_xy_l2,-0.05,-0.03,0.1359,0.1780,+0.0421,WALK,2.10356,-0.107243,OUT_OF_RANGE
action_rate_l2,-0.01,-0.02,0.1359,0.0750,-0.0609,WALK,6.08667,-0.0297831,OUT_OF_RANGE
action_rate_l2,-0.01,-0.005,0.1359,0.1663,+0.0304,WALK,6.08667,-0.0297831,OUT_OF_RANGE
dof_acc_l2,-2.5e-07,-1.25e-07,0.1359,0.2060,+0.0701,WALK,560800,-4.64717e-07,NEVER_CHANGED
dof_acc_l2,-2.5e-07,-5e-07,0.1359,-0.0043,-0.1402,STOP,560800,-4.64717e-07,NEVER_CHANGED
dof_torques_l2,-0.0002,-0.0001,0.1359,0.1627,+0.0268,WALK,268.333,-0.000648745,NEVER_CHANGED
dof_torques_l2,-0.0002,-0.0004,0.1359,0.0822,-0.0537,WALK,268.333,-0.000648745,NEVER_CHANGED
feet_air_time,0.2,0.01,0.1359,0.1511,+0.0152,WALK,-0.08,1.70517,OBSERVED
feet_air_time,0.2,0.35,0.1359,0.1239,-0.0120,WALK,-0.08,1.70517,OUT_OF_RANGE
