term,to,walk_delta,climb_delta,sway_delta,push_delta
track_lin_vel_xy_exp,1.4,-0.0442,-0.0204,-0.0111,-0.0573
track_lin_vel_xy_exp,1.6,+0.0442,+0.0204,+0.0111,+0.0573
track_lin_vel_xy_exp,2.0,+0.2210,+0.1021,+0.0557,+0.2867
lin_vel_z_l2,-3.0,-0.0242,-0.0515,+0.0940,+0.0771
lin_vel_z_l2,-1.75,+0.0060,+0.0129,-0.0235,-0.0193
lin_vel_z_l2,-1.5,+0.0121,+0.0258,-0.0470,-0.0386
lin_vel_z_l2,-1.0,+0.0242,+0.0515,-0.0940,-0.0771
lin_vel_z_l2,-0.5,+0.0362,+0.0773,-0.1409,-0.1157
ang_vel_xy_l2,-0.08,-0.0631,-0.0107,+0.3230,+0.1535
ang_vel_xy_l2,-0.1,-0.1052,-0.0179,+0.5384,+0.2559
ang_vel_xy_l2,-0.15,-0.2104,-0.0358,+1.0768,+0.5118
ang_vel_xy_l2,-0.02,+0.0631,+0.0107,-0.3230,-0.1535
ang_vel_xy_l2,-0.04,+0.0210,+0.0036,-0.1077,-0.0512
ang_vel_xy_l2,-0.03,+0.0421,+0.0072,-0.2154,-0.1024
action_rate_l2,-0.02,-0.0609,,,
action_rate_l2,-0.005,+0.0304,,,
dof_acc_l2,-1.25e-07,+0.0701,,,
dof_acc_l2,-5e-07,-0.1402,,,
dof_torques_l2,-0.0001,+0.0268,,,
dof_torques_l2,-0.0004,-0.0537,,,
feet_air_time,0.01,+0.0152,,,
feet_air_time,0.35,-0.0120,,,
flat_orientation_l2,-0.5,-0.0114,+0.0560,+0.1548,+0.1278
flat_orientation_l2,-1.0,-0.0228,+0.1120,+0.3096,+0.2556
flat_orientation_l2,-2.5,-0.0570,+0.2799,+0.7740,+0.6391
