name,walking,rough_forward_speed,margin,margin_loo,part_track_lin_vel_xy_exp,part_track_ang_vel_z_exp,part_lin_vel_z_l2,part_ang_vel_xy_l2,part_action_rate_l2,part_dof_torques_l2,part_dof_acc_l2,part_feet_air_time,zone,zone_loo
Default-01,False,0.035,-0.1571,-0.1570,0.4419,-0.1027,-0.0725,-0.1683,-0.0609,-0.0537,-0.1402,-0.0008,STOP,STOP
feet_air_time_020_v1,False,0.032,-0.1723,-0.1723,0.4419,-0.1027,-0.0725,-0.1683,-0.0609,-0.0537,-0.1402,-0.0160,STOP,STOP
A010,False,0.031,-0.1329,-0.1329,0.4419,-0.1027,-0.0483,-0.1683,-0.0609,-0.0537,-0.1402,-0.0008,STOP,STOP
A013,False,0.030,-0.1571,-0.1571,0.4419,-0.1027,-0.0725,-0.1683,-0.0609,-0.0537,-0.1402,-0.0008,STOP,STOP
A024,False,0.031,-0.3044,-0.3008,0.4419,-0.1027,-0.0725,-0.3155,-0.0609,-0.0537,-0.1402,-0.0008,STOP,STOP
track_120_v1,False,0.031,-0.0687,-0.0687,0.5303,-0.1027,-0.0725,-0.1683,-0.0609,-0.0537,-0.1402,-0.0008,STOP,STOP
chain01,False,0.032,-0.0687,-0.0687,0.5303,-0.1027,-0.0725,-0.1683,-0.0609,-0.0537,-0.1402,-0.0008,STOP,STOP
A020,False,0.036,-0.0446,-0.0446,0.5303,-0.1027,-0.0483,-0.1683,-0.0609,-0.0537,-0.1402,-0.0008,STOP,STOP
A021,False,0.037,-0.0056,-0.0056,0.5303,-0.1027,-0.0725,-0.1052,-0.0609,-0.0537,-0.1402,-0.0008,STOP,BAND
A022,False,0.034,-0.0839,-0.0839,0.5303,-0.1027,-0.0725,-0.1683,-0.0609,-0.0537,-0.1402,-0.0160,STOP,STOP
Pilot-01,True,0.261,0.0033,-0.0244,0.5303,-0.1027,-0.0483,-0.1052,-0.0609,-0.0537,-0.1402,-0.0160,BAND,BAND
A015,False,0.110,-0.0087,-0.0087,0.5303,-0.1027,-0.0483,-0.1052,-0.0609,-0.0537,-0.1402,-0.0280,STOP,BAND
A016,False,0.031,-0.2070,-0.2103,0.5303,-0.1027,-0.0483,-0.3155,-0.0609,-0.0537,-0.1402,-0.0160,STOP,STOP
A018,False,0.052,0.0155,0.0155,0.5303,-0.1027,-0.0483,-0.1052,-0.0487,-0.0537,-0.1402,-0.0160,BAND,BAND
A017,True,0.270,0.0917,0.0817,0.6187,-0.1027,-0.0483,-0.1052,-0.0609,-0.0537,-0.1402,-0.0160,WALK,WALK
A031,True,0.299,0.1069,0.0992,0.6187,-0.1027,-0.0483,-0.1052,-0.0609,-0.0537,-0.1402,-0.0008,WALK,WALK
A032,True,0.242,0.0997,0.1081,0.6187,-0.1027,-0.0483,-0.1052,-0.0609,-0.0537,-0.1402,-0.0080,WALK,WALK
G-A033,True,0.366,0.1359,0.1736,0.6629,-0.1027,-0.0483,-0.1052,-0.0609,-0.0537,-0.1402,-0.0160,WALK,WALK
A043,True,0.419,0.1480,0.1480,0.6629,-0.1027,-0.0362,-0.1052,-0.0609,-0.0537,-0.1402,-0.0160,WALK,WALK
