policy,situation,group,robots,track_lin_vel_xy_exp,track_ang_vel_z_exp,lin_vel_z_l2,flat_orientation_l2,ang_vel_xy_l2
Pilot-01,climb,climb,19,0.560179,0.9207,0.0507942,0.09692,0.367423
Pilot-01,climb,stall,84,0.452875,0.947628,0.00930128,0.0531873,0.0941487
Pilot-01,push,prefall,1,0.372268,0.32998,0.112875,0.466896,7.14428
Pilot-01,push,upright,383,0.978786,0.959568,0.00169829,0.0560014,0.0399562
Pilot-01,sway,prefall,31,0.798934,0.652121,0.0483834,0.16742,1.7943
Pilot-01,sway,upright,65,0.781563,0.934479,0.00655408,0.267954,0.188069
A017,climb,climb,2,0.603942,0.920148,0.0289213,0.0394588,0.277992
A017,climb,stall,96,0.447999,0.961499,0.00364254,0.0209739,0.0706666
A017,push,prefall,11,0.689163,0.857443,0.045332,0.0734424,0.671562
A017,push,upright,373,0.975732,0.956108,0.00116384,0.00851446,0.0437144
A017,sway,prefall,48,0.842729,0.721146,0.0556656,0.158747,1.60659
A017,sway,upright,48,0.755193,0.91204,0.00518055,0.0199643,0.118064
G-A033,climb,climb,43,0.656527,0.886046,0.0617962,0.0387881,0.444652
G-A033,climb,stall,92,0.452346,0.949387,0.0102675,0.150743,0.0867025
G-A033,push,prefall,22,0.406785,0.620999,0.0783833,0.267777,5.1813
G-A033,push,upright,362,0.980117,0.944832,0.00128202,0.0121522,0.0637377
G-A033,sway,prefall,58,0.738956,0.502723,0.106305,0.345897,11.1187
G-A033,sway,upright,38,0.850395,0.885623,0.0123389,0.0362985,0.35106
