name,run,term,weight,logged,value,walking,terrain_level
Default-01,go2_default_vs_pilot_v1,track_lin_vel_xy_exp,1.0,0.219,0.219,False,0.000
Default-01,go2_default_vs_pilot_v1,track_ang_vel_z_exp,0.75,0.633,0.844,False,0.000
Default-01,go2_default_vs_pilot_v1,lin_vel_z_l2,-3.0,-0.015,0.005,False,0.000
Default-01,go2_default_vs_pilot_v1,ang_vel_xy_l2,-0.08,-0.040,0.5,False,0.000
Default-01,go2_default_vs_pilot_v1,action_rate_l2,-0.01,-0.047,4.7,False,0.000
Default-01,go2_default_vs_pilot_v1,dof_torques_l2,-0.0002,-0.041,205,False,0.000
Default-01,go2_default_vs_pilot_v1,dof_acc_l2,-2.5e-07,-0.057,228000,False,0.000
Default-01,go2_default_vs_pilot_v1,feet_air_time,0.01,-0.001,,False,0.000
feet_air_time_020_v1,go2_feet_air_time_020_v1,track_lin_vel_xy_exp,1.0,0.367,0.367,False,0.547
feet_air_time_020_v1,go2_feet_air_time_020_v1,track_ang_vel_z_exp,0.75,0.614,0.818667,False,0.547
feet_air_time_020_v1,go2_feet_air_time_020_v1,lin_vel_z_l2,-3.0,-0.024,0.008,False,0.547
feet_air_time_020_v1,go2_feet_air_time_020_v1,ang_vel_xy_l2,-0.08,-0.076,0.95,False,0.547
feet_air_time_020_v1,go2_feet_air_time_020_v1,action_rate_l2,-0.01,-0.050,5,False,0.547
feet_air_time_020_v1,go2_feet_air_time_020_v1,dof_torques_l2,-0.0002,-0.044,220,False,0.547
feet_air_time_020_v1,go2_feet_air_time_020_v1,dof_acc_l2,-2.5e-07,-0.085,340000,False,0.547
feet_air_time_020_v1,go2_feet_air_time_020_v1,feet_air_time,0.2,-0.020,-0.1,False,0.547
A010,go2_g_a010_lin_vel_z_m2,track_lin_vel_xy_exp,1.0,0.360,0.36,False,0.547
A010,go2_g_a010_lin_vel_z_m2,track_ang_vel_z_exp,0.75,0.592,0.789333,False,0.547
A010,go2_g_a010_lin_vel_z_m2,lin_vel_z_l2,-2.0,-0.019,0.0095,False,0.547
A010,go2_g_a010_lin_vel_z_m2,ang_vel_xy_l2,-0.08,-0.084,1.05,False,0.547
A010,go2_g_a010_lin_vel_z_m2,action_rate_l2,-0.01,-0.051,5.1,False,0.547
A010,go2_g_a010_lin_vel_z_m2,dof_torques_l2,-0.0002,-0.045,225,False,0.547
A010,go2_g_a010_lin_vel_z_m2,dof_acc_l2,-2.5e-07,-0.077,308000,False,0.547
A010,go2_g_a010_lin_vel_z_m2,feet_air_time,0.01,-0.001,,False,0.547
A013,go2_g_a013_flat_orientation_m1,track_lin_vel_xy_exp,1.0,0.401,0.401,False,0.816
A013,go2_g_a013_flat_orientation_m1,track_ang_vel_z_exp,0.75,0.645,0.86,False,0.816
A013,go2_g_a013_flat_orientation_m1,lin_vel_z_l2,-3.0,-0.022,0.00733333,False,0.816
A013,go2_g_a013_flat_orientation_m1,ang_vel_xy_l2,-0.08,-0.099,1.2375,False,0.816
A013,go2_g_a013_flat_orientation_m1,action_rate_l2,-0.01,-0.061,6.1,False,0.816
A013,go2_g_a013_flat_orientation_m1,dof_torques_l2,-0.0002,-0.063,315,False,0.816
A013,go2_g_a013_flat_orientation_m1,dof_acc_l2,-2.5e-07,-0.070,280000,False,0.816
A013,go2_g_a013_flat_orientation_m1,feet_air_time,0.01,-0.002,,False,0.816
A024,go2_g_a024_ang_vel_xy_m015,track_lin_vel_xy_exp,1.0,0.219,0.219,False,0.000
A024,go2_g_a024_ang_vel_xy_m015,track_ang_vel_z_exp,0.75,0.635,0.846667,False,0.000
A024,go2_g_a024_ang_vel_xy_m015,lin_vel_z_l2,-3.0,-0.016,0.00533333,False,0.000
A024,go2_g_a024_ang_vel_xy_m015,ang_vel_xy_l2,-0.15,-0.072,0.48,False,0.000
A024,go2_g_a024_ang_vel_xy_m015,action_rate_l2,-0.01,-0.044,4.4,False,0.000
A024,go2_g_a024_ang_vel_xy_m015,dof_torques_l2,-0.0002,-0.041,205,False,0.000
A024,go2_g_a024_ang_vel_xy_m015,dof_acc_l2,-2.5e-07,-0.056,224000,False,0.000
