name,case,seed,robots,terminated,tilt_mean,tilt_survivors,tilt_pre_term,pre_term_auc
G-A033,forward_nominal,101,32,0,0.02082,0.02082,,
G-A033,forward_nominal,202,32,0,0.02104,0.02104,,
G-A033,forward_nominal,303,32,0,0.02083,0.02083,,
G-A033,rough_forward,101,32,0,0.06039,0.06039,,
G-A033,rough_forward,202,32,0,0.03916,0.03916,,
G-A033,rough_forward,303,32,3,0.04061,0.03697,0.41120,1.000
G-A033,rough_lateral,101,32,19,0.09201,0.05106,0.31123,0.838
G-A033,rough_lateral,202,32,20,0.08232,0.02765,0.33031,0.879
G-A033,rough_lateral,303,32,19,0.08231,0.02585,0.39698,0.947
G-A033,left,101,32,0,0.01682,0.01682,,
G-A033,left,202,32,2,0.02343,0.01850,0.80360,1.000
G-A033,left,303,32,2,0.01798,0.01481,0.73438,1.000
G-A033,slope_plus_20,101,32,0,0.03889,0.03889,,
G-A033,slope_plus_20,202,32,0,0.04616,0.04616,,
G-A033,slope_plus_20,303,32,0,0.04018,0.04018,,
G-A033,slope_minus_20,101,32,0,0.05127,0.05127,,
G-A033,slope_minus_20,202,32,0,0.05271,0.05271,,
G-A033,slope_minus_20,303,32,0,0.05205,0.05205,,
G-A033,stairs_10_down,101,32,1,0.05194,0.04922,0.99562,1.000
G-A033,stairs_10_down,202,32,2,0.08021,0.07856,0.51578,0.683
G-A033,stairs_10_down,303,32,3,0.07433,0.07108,0.66744,1.000
G-A033,stairs_15_down,101,32,1,0.13640,0.13914,0.11275,0.387
G-A033,stairs_15_down,202,32,0,0.14337,0.14337,,
G-A033,stairs_15_down,303,32,0,0.14562,0.14562,,
G-A033,stairs_10_up,101,32,0,0.06535,0.06535,,
G-A033,stairs_10_up,202,32,0,0.06543,0.06543,,
G-A033,stairs_10_up,303,32,0,0.06422,0.06422,,
G-A033,stairs_15_up,101,32,3,0.09262,0.09231,0.12745,0.644
G-A033,stairs_15_up,202,32,2,0.09130,0.09225,0.08760,0.367
G-A033,stairs_15_up,303,32,2,0.09019,0.08926,0.08531,0.517
G-A033,push_pos_y,101,32,1,0.01279,0.01197,0.31256,1.000
G-A033,push_pos_y,202,32,2,0.01493,0.01173,0.48339,1.000
G-A033,push_pos_y,303,32,1,0.01267,0.01199,0.13847,1.000
chain01,forward_nominal,101,32,0,0.27359,0.27359,,
chain01,forward_nominal,202,32,0,0.26974,0.26974,,
chain01,forward_nominal,303,32,0,0.27305,0.27305,,
chain01,rough_forward,101,32,5,0.14850,0.14877,0.28230,0.696
chain01,rough_forward,202,32,5,0.12633,0.12764,0.14348,0.541
chain01,rough_forward,303,32,2,0.14107,0.13836,0.30522,0.983
chain01,rough_lateral,101,32,5,0.07227,0.06424,0.17645,0.674
chain01,rough_lateral,202,32,11,0.08097,0.05283,0.18362,0.771
chain01,rough_lateral,303,32,5,0.06996,0.06190,0.13056,0.911
chain01,left,101,32,0,0.07760,0.07760,,
chain01,left,202,32,0,0.07947,0.07947,,
chain01,left,303,32,0,0.07554,0.07554,,
chain01,slope_plus_20,101,32,0,0.26593,0.26593,,
chain01,slope_plus_20,202,32,0,0.26310,0.26310,,
chain01,slope_plus_20,303,32,0,0.26880,0.26880,,
chain01,slope_minus_20,101,32,0,0.26687,0.26687,,
chain01,slope_minus_20,202,32,0,0.26301,0.26301,,
chain01,slope_minus_20,303,32,0,0.26827,0.26827,,
chain01,stairs_10_down,101,32,0,0.26423,0.26423,,
chain01,stairs_10_down,202,32,0,0.26386,0.26386,,
chain01,stairs_10_down,303,32,0,0.26765,0.26765,,
chain01,stairs_15_down,101,32,0,0.26429,0.26429,,
chain01,stairs_15_down,202,32,0,0.26236,0.26236,,
chain01,stairs_15_down,303,32,0,0.26366,0.26366,,
chain01,stairs_10_up,101,32,0,0.26541,0.26541,,
chain01,stairs_10_up,202,32,0,0.26549,0.26549,,
chain01,stairs_10_up,303,32,0,0.26783,0.26783,,
chain01,stairs_15_up,101,32,0,0.26536,0.26536,,
chain01,stairs_15_up,202,32,0,0.26441,0.26441,,
chain01,stairs_15_up,303,32,0,0.26827,0.26827,,
chain01,push_pos_y,101,32,1,0.08222,0.08247,0.61153,1.000
chain01,push_pos_y,202,32,0,0.07376,0.07376,,
chain01,push_pos_y,303,32,0,0.05719,0.05719,,
