run,arm,case,seed,speed_xy_mean,height_rel_median,projected_progress_m,survival_proxy,tracking_xy_rmse,terminated_env_count,fallen_env_count
go2_a017_full_suite,a017,forward_nominal,101,0.632,0.356,12.471,1.000,0.165,0,0
go2_a017_full_suite,a017,forward_nominal,202,0.640,0.353,12.860,1.000,0.160,0,0
go2_a017_full_suite,a017,forward_nominal,303,0.627,0.358,12.335,1.000,0.167,0,0
go2_a017_full_suite,a017,rough_forward,101,0.246,0.324,5.002,0.906,0.341,0,3
go2_a017_full_suite,a017,rough_forward,202,0.264,0.329,4.744,0.969,0.332,0,1
go2_a017_full_suite,a017,rough_forward,303,0.301,0.335,6.121,1.000,0.274,0,0
go2_a017_full_suite,a017,rough_lateral,101,0.139,0.373,1.461,0.469,0.250,17,2
go2_a017_full_suite,a017,rough_lateral,202,0.130,0.369,1.186,0.562,0.260,14,3
go2_a017_full_suite,a017,rough_lateral,303,0.120,0.372,0.896,0.469,0.264,17,3
go2_a017_full_suite,a017,slope_plus_20,101,0.285,0.310,5.933,0.781,0.281,0,7
go2_a017_full_suite,a017,slope_plus_20,202,0.266,0.295,5.877,0.750,0.310,0,8
go2_a017_full_suite,a017,slope_plus_20,303,0.284,0.314,5.792,0.875,0.278,0,4
go2_a017_full_suite,a017,slope_minus_20,101,0.382,0.372,7.574,1.000,0.158,0,0
go2_a017_full_suite,a017,slope_minus_20,202,0.386,0.371,7.613,1.000,0.153,0,0
go2_a017_full_suite,a017,slope_minus_20,303,0.377,0.375,7.447,1.000,0.165,0,0
go2_a017_full_suite,a017,stairs_10_up,101,0.347,0.365,7.072,0.781,0.211,0,7
go2_a017_full_suite,a017,stairs_10_up,202,0.341,0.361,6.738,0.750,0.222,0,8
go2_a017_full_suite,a017,stairs_10_up,303,0.342,0.369,6.990,0.750,0.215,0,8
go2_a017_full_suite,a017,stairs_10_down,101,0.118,0.176,1.826,0.031,0.440,0,31
go2_a017_full_suite,a017,stairs_10_down,202,0.107,0.155,1.614,0.000,0.445,0,32
go2_a017_full_suite,a017,stairs_10_down,303,0.116,0.186,1.608,0.219,0.446,0,25
go2_a017_full_suite,a017,stairs_15_up,101,0.349,0.356,7.217,0.719,0.228,0,9
go2_a017_full_suite,a017,stairs_15_up,202,0.336,0.353,6.247,0.562,0.246,1,13
go2_a017_full_suite,a017,stairs_15_up,303,0.341,0.363,6.907,0.719,0.231,1,9
go2_a017_full_suite,a017,stairs_15_down,101,0.084,0.131,1.323,0.000,0.458,0,32
go2_a017_full_suite,a017,stairs_15_down,202,0.088,0.129,1.294,0.000,0.455,2,32
go2_a017_full_suite,a017,stairs_15_down,303,0.081,0.134,1.206,0.000,0.459,1,32
go2_a017_full_suite,pilot,forward_nominal,101,0.742,0.336,14.839,1.000,0.129,0,0
go2_a017_full_suite,pilot,forward_nominal,202,0.745,0.334,14.848,1.000,0.129,0,0
go2_a017_full_suite,pilot,forward_nominal,303,0.743,0.337,14.837,1.000,0.129,0,0
go2_a017_full_suite,pilot,rough_forward,101,0.241,0.314,4.031,0.812,0.359,1,6
go2_a017_full_suite,pilot,rough_forward,202,0.245,0.310,4.275,0.875,0.363,0,4
go2_a017_full_suite,pilot,rough_forward,303,0.298,0.316,6.030,0.875,0.304,2,3
go2_a017_full_suite,pilot,rough_lateral,101,0.115,0.292,1.464,0.188,0.251,6,23
go2_a017_full_suite,pilot,rough_lateral,202,0.143,0.297,1.617,0.344,0.238,11,16
go2_a017_full_suite,pilot,rough_lateral,303,0.133,0.304,0.955,0.094,0.247,14,23
go2_a017_full_suite,pilot,slope_plus_20,101,0.214,0.314,2.206,1.000,0.385,0,0
go2_a017_full_suite,pilot,slope_plus_20,202,0.222,0.313,2.354,1.000,0.378,0,0
go2_a017_full_suite,pilot,slope_plus_20,303,0.195,0.318,1.861,1.000,0.399,0,0
go2_a017_full_suite,pilot,slope_minus_20,101,0.415,0.340,8.462,0.969,0.163,1,0
go2_a017_full_suite,pilot,slope_minus_20,202,0.426,0.338,8.686,1.000,0.152,0,0
go2_a017_full_suite,pilot,slope_minus_20,303,0.427,0.342,8.544,1.000,0.141,0,0
go2_a017_full_suite,pilot,stairs_10_up,101,0.383,0.335,7.971,0.750,0.205,0,8
go2_a017_full_suite,pilot,stairs_10_up,202,0.382,0.333,7.662,0.750,0.209,0,8
go2_a017_full_suite,pilot,stairs_10_up,303,0.389,0.338,7.857,0.875,0.194,0,4
go2_a017_full_suite,pilot,stairs_10_down,101,0.138,0.237,1.765,0.125,0.448,2,28
go2_a017_full_suite,pilot,stairs_10_down,202,0.131,0.247,1.783,0.125,0.451,2,28
go2_a017_full_suite,pilot,stairs_10_down,303,0.130,0.229,1.781,0.094,0.450,1,29
go2_a017_full_suite,pilot,stairs_15_up,101,0.320,0.332,5.696,0.719,0.256,2,7
go2_a017_full_suite,pilot,stairs_15_up,202,0.324,0.331,5.779,0.781,0.257,2,6
go2_a017_full_suite,pilot,stairs_15_up,303,0.321,0.336,5.723,0.812,0.259,4,4
go2_a017_full_suite,pilot,stairs_15_down,101,0.103,0.121,1.402,0.031,0.458,1,31
go2_a017_full_suite,pilot,stairs_15_down,202,0.103,0.110,1.347,0.000,0.456,4,32
go2_a017_full_suite,pilot,stairs_15_down,303,0.106,0.122,1.339,0.000,0.456,3,32
go2_chain01_baseline,chain01,forward_nominal,101,0.026,0.119,0.309,0.000,0.739,0,32
go2_chain01_baseline,chain01,forward_nominal,202,0.026,0.118,0.301,0.000,0.740,0,32
go2_chain01_baseline,chain01,forward_nominal,303,0.026,0.119,0.314,0.000,0.739,0,32
go2_chain01_baseline,chain01,rough_forward,101,0.031,0.129,0.255,0.062,0.491,5,30
