run,arm,case,group,robots,seconds_mean,track_rate,lin_vel_z_rate,sum_rate
go2_a017_full_suite,pilot,forward_nominal,walk,96,19.0,1.430,-0.053,1.377
go2_a017_full_suite,pilot,stairs_10_down,stall,31,17.9,0.690,-0.028,0.662
go2_a017_full_suite,pilot,stairs_10_down,climb,19,10.0,0.840,-0.102,0.739
go2_a017_full_suite,pilot,stairs_15_down,stall,84,18.0,0.679,-0.019,0.661
go2_a017_full_suite,a017,forward_nominal,walk,96,19.0,1.380,-0.031,1.349
go2_a017_full_suite,a017,stairs_10_down,stall,68,19.0,0.711,-0.016,0.695
go2_a017_full_suite,a017,stairs_10_down,climb,2,12.1,0.906,-0.058,0.848
go2_a017_full_suite,a017,stairs_15_down,stall,96,18.6,0.672,-0.007,0.665
go2_g_a033_a017_track_lin_vel_xy_150,candidate,forward_nominal,walk,96,19.0,1.471,-0.063,1.408
go2_g_a033_a017_track_lin_vel_xy_150,candidate,stairs_10_down,climb,43,8.5,0.985,-0.124,0.861
go2_g_a033_a017_track_lin_vel_xy_150,candidate,stairs_10_down,stall,6,18.5,0.714,-0.072,0.642
go2_g_a033_a017_track_lin_vel_xy_150,candidate,stairs_15_down,stall,92,18.8,0.679,-0.021,0.658
