run,arm,case,robots,terminated,term_time_median_s,tilt_cos_min_median,base_mass_terminated_median,base_mass_survived_median,vy_mean,abs_wz_mean,mass_auc,heavy_terminated,heavy_robots,light_terminated,light_robots,early_abs_wz_auc,heading_drift_terminated_median_rad,heading_drift_survived_median_rad,cmd_vy,early_vy_auc
go2_default_vs_pilot_v1,default,rough_lateral,96,21,2.16,,8.524,7.485,0.010,0.168,0.613,11,34,4,28,0.798,0.302,0.242,0.30,0.596
go2_default_vs_pilot_v1,default,rough_forward,96,25,2.26,,8.023,7.434,0.025,0.178,0.624,11,34,4,28,0.811,0.224,0.125,0.00,0.700
go2_default_vs_pilot_v1,default,left,96,0,,,,7.690,-0.001,0.073,,0,34,0,28,,,0.268,0.35,
go2_default_vs_pilot_v1,default,right,96,0,,,,7.690,-0.001,0.067,,0,34,0,28,,,0.115,-0.35,
go2_default_vs_pilot_v1,default,diagonal_left,96,0,,,,7.690,-0.000,0.053,,0,34,0,28,,,0.127,0.30,
go2_default_vs_pilot_v1,default,diagonal_right,96,0,,,,7.690,-0.000,0.052,,0,34,0,28,,,0.176,-0.30,
go2_feet_air_time_020_v1,candidate,rough_lateral,96,4,5.42,,7.918,7.690,0.006,0.080,0.538,2,34,1,28,0.546,0.280,0.222,0.30,0.552
go2_feet_air_time_020_v1,candidate,rough_forward,96,3,16.42,,7.243,7.702,-0.002,0.060,0.380,0,34,0,28,0.667,0.590,0.174,0.00,0.538
go2_feet_air_time_020_v1,candidate,left,96,0,,,,7.690,0.019,0.086,,0,34,0,28,,,0.154,0.35,
go2_feet_air_time_020_v1,candidate,right,96,0,,,,7.690,-0.046,0.105,,0,34,0,28,,,0.885,-0.35,
go2_feet_air_time_020_v1,candidate,diagonal_left,96,0,,,,7.690,0.001,0.065,,0,34,0,28,,,0.277,0.30,
go2_feet_air_time_020_v1,candidate,diagonal_right,96,0,,,,7.690,-0.007,0.055,,0,34,0,28,,,0.311,-0.30,
go2_chain01_baseline,chain01,rough_lateral,96,21,7.94,-0.915,8.457,7.485,0.044,0.179,0.622,9,34,5,28,0.656,0.393,0.686,0.30,0.716
go2_chain01_baseline,chain01,rough_forward,96,12,7.33,0.905,7.239,7.761,-0.004,0.058,0.414,2,34,4,28,0.515,0.118,0.115,0.00,0.459
go2_chain01_baseline,chain01,left,96,0,,,,7.690,0.214,0.121,,0,34,0,28,,,0.974,0.35,
go2_chain01_baseline,chain01,right,96,0,,,,7.690,-0.154,0.099,,0,34,0,28,,,0.334,-0.35,
go2_chain01_baseline,chain01,diagonal_left,96,0,,,,7.690,-0.002,0.036,,0,34,0,28,,,0.087,0.30,
go2_chain01_baseline,chain01,diagonal_right,96,0,,,,7.690,-0.004,0.037,,0,34,0,28,,,0.066,-0.30,
go2_a017_full_suite,pilot,rough_lateral,96,31,5.70,-0.422,7.958,7.589,0.134,0.154,0.530,10,34,8,28,0.640,0.146,0.352,0.30,0.589
go2_a017_full_suite,pilot,rough_forward,96,3,9.34,-0.774,8.023,7.683,0.019,0.126,0.667,1,34,0,28,0.305,0.351,0.484,0.00,0.699
go2_a017_full_suite,pilot,left,96,0,,,,7.690,0.304,0.096,,0,34,0,28,,,0.564,0.35,
go2_a017_full_suite,pilot,right,96,0,,,,7.690,-0.258,0.090,,0,34,0,28,,,0.384,-0.35,
go2_a017_full_suite,pilot,diagonal_left,96,0,,,,7.690,0.284,0.101,,0,34,0,28,,,0.371,0.30,
go2_a017_full_suite,pilot,diagonal_right,96,0,,,,7.690,-0.173,0.112,,0,34,0,28,,,0.343,-0.30,
go2_a017_full_suite,a017,rough_lateral,96,48,9.62,-0.830,7.876,7.459,0.103,0.168,0.525,17,34,12,28,0.553,0.310,0.442,0.30,0.593
go2_a017_full_suite,a017,rough_forward,96,0,,,,7.690,-0.013,0.118,,0,34,0,28,,,0.228,0.00,
go2_a017_full_suite,a017,left,96,0,,,,7.690,0.353,0.097,,0,34,0,28,,,0.118,0.35,
go2_a017_full_suite,a017,right,96,0,,,,7.690,-0.296,0.091,,0,34,0,28,,,0.624,-0.35,
go2_a017_full_suite,a017,diagonal_left,96,0,,,,7.690,0.340,0.091,,0,34,0,28,,,0.654,0.30,
go2_a017_full_suite,a017,diagonal_right,96,0,,,,7.690,-0.252,0.096,,0,34,0,28,,,0.171,-0.30,
go2_g_a033_a017_track_lin_vel_xy_150,candidate,rough_lateral,96,58,8.98,-0.973,8.560,7.157,0.112,0.269,0.784,30,34,10,28,0.600,0.460,0.750,0.30,0.505
go2_g_a033_a017_track_lin_vel_xy_150,candidate,rough_forward,96,3,11.54,-0.956,7.244,7.697,-0.002,0.118,0.394,1,34,1,28,0.552,0.635,0.540,0.00,0.491
go2_g_a033_a017_track_lin_vel_xy_150,candidate,left,96,4,10.90,-0.999,9.431,7.625,0.294,0.114,0.845,4,34,0,28,0.636,0.143,0.114,0.35,0.867
go2_g_a033_a017_track_lin_vel_xy_150,candidate,right,96,0,,,,7.690,-0.310,0.092,,0,34,0,28,,,0.473,-0.35,
go2_g_a033_a017_track_lin_vel_xy_150,candidate,diagonal_left,96,0,,,,7.690,0.228,0.122,,0,34,0,28,,,0.826,0.30,
go2_g_a033_a017_track_lin_vel_xy_150,candidate,diagonal_right,96,0,,,,7.690,-0.290,0.119,,0,34,0,28,,,0.514,-0.30,
