run,arm,case,seed,height_key,terrain_start_m,direction,step_height_m,robots,body_rise_ge1,body_rise_ge2,body_rise_full
go2_a017_full_suite,a017,stairs_10_up,101,terrain_z,0.698,descend,0.10,32,32,32,32
go2_a017_full_suite,a017,stairs_10_up,202,terrain_z,0.698,descend,0.10,32,32,32,32
go2_a017_full_suite,a017,stairs_10_up,303,terrain_z,0.699,descend,0.10,32,32,32,32
go2_a017_full_suite,a017,stairs_10_down,101,terrain_z,-0.698,climb,0.10,32,11,0,0
go2_a017_full_suite,a017,stairs_10_down,202,terrain_z,-0.698,climb,0.10,32,6,1,0
go2_a017_full_suite,a017,stairs_10_down,303,terrain_z,-0.699,climb,0.10,32,11,1,0
go2_a017_full_suite,a017,stairs_15_up,101,terrain_z,1.047,descend,0.15,32,32,32,32
go2_a017_full_suite,a017,stairs_15_up,202,terrain_z,1.048,descend,0.15,32,32,32,31
go2_a017_full_suite,a017,stairs_15_up,303,terrain_z,1.048,descend,0.15,32,32,32,32
go2_a017_full_suite,a017,stairs_15_down,101,terrain_z,-1.047,climb,0.15,32,0,0,0
go2_a017_full_suite,a017,stairs_15_down,202,terrain_z,-1.048,climb,0.15,32,0,0,0
go2_a017_full_suite,a017,stairs_15_down,303,terrain_z,-1.048,climb,0.15,32,0,0,0
go2_a017_full_suite,pilot,stairs_10_up,101,terrain_z,0.698,descend,0.10,32,32,32,32
go2_a017_full_suite,pilot,stairs_10_up,202,terrain_z,0.698,descend,0.10,32,32,32,32
go2_a017_full_suite,pilot,stairs_10_up,303,terrain_z,0.699,descend,0.10,32,32,32,32
go2_a017_full_suite,pilot,stairs_10_down,101,terrain_z,-0.698,climb,0.10,32,22,8,0
go2_a017_full_suite,pilot,stairs_10_down,202,terrain_z,-0.698,climb,0.10,32,22,6,0
go2_a017_full_suite,pilot,stairs_10_down,303,terrain_z,-0.699,climb,0.10,32,21,5,0
go2_a017_full_suite,pilot,stairs_15_up,101,terrain_z,1.047,descend,0.15,32,32,32,31
go2_a017_full_suite,pilot,stairs_15_up,202,terrain_z,1.048,descend,0.15,32,32,31,30
go2_a017_full_suite,pilot,stairs_15_up,303,terrain_z,1.048,descend,0.15,32,32,32,30
go2_a017_full_suite,pilot,stairs_15_down,101,terrain_z,-1.047,climb,0.15,32,5,0,0
go2_a017_full_suite,pilot,stairs_15_down,202,terrain_z,-1.048,climb,0.15,32,3,0,0
go2_a017_full_suite,pilot,stairs_15_down,303,terrain_z,-1.048,climb,0.15,32,4,0,0
go2_chain01_baseline,chain01,stairs_10_up,101,terrain_z,0.698,descend,0.10,32,0,0,0
go2_chain01_baseline,chain01,stairs_10_up,202,terrain_z,0.698,descend,0.10,32,0,0,0
go2_chain01_baseline,chain01,stairs_10_up,303,terrain_z,0.699,descend,0.10,32,0,0,0
go2_chain01_baseline,chain01,stairs_10_down,101,terrain_z,-0.698,climb,0.10,32,0,0,0
go2_chain01_baseline,chain01,stairs_10_down,202,terrain_z,-0.698,climb,0.10,32,0,0,0
go2_chain01_baseline,chain01,stairs_10_down,303,terrain_z,-0.699,climb,0.10,32,0,0,0
go2_chain01_baseline,chain01,stairs_15_up,101,terrain_z,1.047,descend,0.15,32,0,0,0
go2_chain01_baseline,chain01,stairs_15_up,202,terrain_z,1.048,descend,0.15,32,0,0,0
go2_chain01_baseline,chain01,stairs_15_up,303,terrain_z,1.048,descend,0.15,32,0,0,0
go2_chain01_baseline,chain01,stairs_15_down,101,terrain_z,-1.047,climb,0.15,32,0,0,0
go2_chain01_baseline,chain01,stairs_15_down,202,terrain_z,-1.048,climb,0.15,32,0,0,0
go2_chain01_baseline,chain01,stairs_15_down,303,terrain_z,-1.048,climb,0.15,32,0,0,0
go2_default_vs_pilot_v1,default,stairs_10_up,101,root_z,1.098,descend,0.10,32,0,0,0
go2_default_vs_pilot_v1,default,stairs_10_up,202,root_z,1.098,descend,0.10,32,0,0,0
go2_default_vs_pilot_v1,default,stairs_10_up,303,root_z,1.098,descend,0.10,32,0,0,0
go2_default_vs_pilot_v1,default,stairs_10_down,101,root_z,-0.302,climb,0.10,32,0,0,0
go2_default_vs_pilot_v1,default,stairs_10_down,202,root_z,-0.302,climb,0.10,32,0,0,0
go2_default_vs_pilot_v1,default,stairs_10_down,303,root_z,-0.302,climb,0.10,32,0,0,0
go2_default_vs_pilot_v1,default,stairs_15_up,101,root_z,1.448,descend,0.15,32,0,0,0
go2_default_vs_pilot_v1,default,stairs_15_up,202,root_z,1.448,descend,0.15,32,0,0,0
go2_default_vs_pilot_v1,default,stairs_15_up,303,root_z,1.448,descend,0.15,32,0,0,0
go2_default_vs_pilot_v1,default,stairs_15_down,101,root_z,-0.652,climb,0.15,32,0,0,0
go2_default_vs_pilot_v1,default,stairs_15_down,202,root_z,-0.652,climb,0.15,32,0,0,0
go2_default_vs_pilot_v1,default,stairs_15_down,303,root_z,-0.652,climb,0.15,32,0,0,0
go2_default_vs_pilot_v1,pilot,stairs_10_up,101,root_z,1.098,descend,0.10,32,32,32,32
go2_default_vs_pilot_v1,pilot,stairs_10_up,202,root_z,1.098,descend,0.10,32,32,32,32
go2_default_vs_pilot_v1,pilot,stairs_10_up,303,root_z,1.098,descend,0.10,32,32,32,32
go2_default_vs_pilot_v1,pilot,stairs_10_down,101,root_z,-0.302,climb,0.10,32,22,8,0
go2_default_vs_pilot_v1,pilot,stairs_10_down,202,root_z,-0.302,climb,0.10,32,22,6,0
go2_default_vs_pilot_v1,pilot,stairs_10_down,303,root_z,-0.302,climb,0.10,32,21,5,0
go2_default_vs_pilot_v1,pilot,stairs_15_up,101,root_z,1.448,descend,0.15,32,32,32,31
go2_default_vs_pilot_v1,pilot,stairs_15_up,202,root_z,1.448,descend,0.15,32,32,31,30
go2_default_vs_pilot_v1,pilot,stairs_15_up,303,root_z,1.448,descend,0.15,32,32,32,30
go2_default_vs_pilot_v1,pilot,stairs_15_down,101,root_z,-0.652,climb,0.15,32,5,0,0
