name,track_lin_vel_xy_exp,lin_vel_z_l2,ang_vel_xy_l2,action_rate_l2,feet_air_time,flat_orientation_l2,rough_forward_speed,slope_plus_20_progress_m,climb10_ge2,climb15_ge1
Default-01,1,-3,-0.08,-0.01,0.01,0,0.035,1.476,0,0
feet_air_time_020_v1,1,-3,-0.08,-0.01,0.2,0,0.032,1.104,0,0
A010,1,-2,-0.08,-0.01,0.01,0,0.031,0.008,,
A013,1,-3,-0.08,-0.01,0.01,-1,0.030,0.094,,
A024,1,-3,-0.15,-0.01,0.01,0,0.031,0.307,,
track_120_v1,1.2,-3,-0.08,-0.01,0.01,0,0.031,0.323,,
chain01,1.2,-3,-0.08,-0.01,0.01,0,0.032,0.321,0,0
A020,1.2,-2,-0.08,-0.01,0.01,0,0.036,0.323,,
A021,1.2,-3,-0.05,-0.01,0.01,0,0.037,0.336,,
A022,1.2,-3,-0.08,-0.01,0.2,0,0.034,0.293,,
Pilot-01,1.2,-2,-0.05,-0.01,0.2,0,0.261,2.140,19,12
A015,1.2,-2,-0.05,-0.01,0.35,0,0.110,1.649,,
A016,1.2,-2,-0.15,-0.01,0.2,0,0.031,0.285,,
A018,1.2,-2,-0.05,-0.008,0.2,0,0.052,0.521,,
A017,1.4,-2,-0.05,-0.01,0.2,0,0.270,5.867,2,0
A031,1.4,-2,-0.05,-0.01,0.01,0,0.299,1.993,,
A032,1.4,-2,-0.05,-0.01,0.1,0,0.242,5.626,,
G-A033,1.5,-2,-0.05,-0.01,0.2,0,0.366,8.840,43,4
A043,1.5,-1.5,-0.05,-0.01,0.2,0,0.419,9.268,94,88
