work_id,term,case,seeds,metric,base,cand,delta,seed_sd,threshold,signal,better
G-A007,feet_air_time,backward,3,terminated,0.000,0.000,0.000,0.000,0.000,0,
G-A007,feet_air_time,backward,3,progress_m,0.350,9.047,8.697,0.025,0.041,1,better
G-A007,feet_air_time,backward,3,speed,0.033,0.459,0.426,0.001,0.001,1,
G-A007,feet_air_time,backward,3,error_xy,0.485,0.084,-0.401,0.001,0.001,-1,better
G-A007,feet_air_time,backward,3,error_yaw,0.069,0.113,0.044,0.002,0.004,1,worse
G-A007,feet_air_time,combined_yaw_left,3,terminated,0.000,0.000,0.000,0.000,0.000,0,
G-A007,feet_air_time,combined_yaw_left,3,progress_m,-0.111,-0.668,-0.557,0.011,0.018,-1,worse
G-A007,feet_air_time,combined_yaw_left,3,speed,0.045,0.074,0.030,0.001,0.002,1,
G-A007,feet_air_time,combined_yaw_left,3,error_xy,0.534,0.555,0.021,0.000,0.000,1,worse
G-A007,feet_air_time,combined_yaw_left,3,error_yaw,0.391,0.199,-0.192,0.002,0.003,-1,better
G-A007,feet_air_time,combined_yaw_right,3,terminated,0.000,0.000,0.000,0.000,0.000,0,
G-A007,feet_air_time,combined_yaw_right,3,progress_m,-0.011,0.269,0.280,0.088,0.144,1,better
G-A007,feet_air_time,combined_yaw_right,3,speed,0.119,0.081,-0.038,0.000,0.001,-1,
G-A007,feet_air_time,combined_yaw_right,3,error_xy,0.534,0.514,-0.019,0.001,0.002,-1,better
G-A007,feet_air_time,combined_yaw_right,3,error_yaw,0.100,0.259,0.159,0.000,0.001,1,worse
G-A007,feet_air_time,diagonal_left,3,terminated,0.000,0.000,0.000,0.000,0.000,0,
G-A007,feet_air_time,diagonal_left,3,progress_m,0.274,0.265,-0.009,0.005,0.008,-1,worse
G-A007,feet_air_time,diagonal_left,3,speed,0.027,0.031,0.004,0.001,0.001,1,
G-A007,feet_air_time,diagonal_left,3,error_xy,0.574,0.571,-0.004,0.000,0.001,-1,better
G-A007,feet_air_time,diagonal_left,3,error_yaw,0.054,0.067,0.013,0.002,0.004,1,worse
G-A007,feet_air_time,diagonal_right,3,terminated,0.000,0.000,0.000,0.000,0.000,0,
G-A007,feet_air_time,diagonal_right,3,progress_m,0.297,0.390,0.093,0.014,0.022,1,better
G-A007,feet_air_time,diagonal_right,3,speed,0.029,0.033,0.005,0.001,0.001,1,
G-A007,feet_air_time,diagonal_right,3,error_xy,0.572,0.568,-0.004,0.000,0.001,-1,better
G-A007,feet_air_time,diagonal_right,3,error_yaw,0.053,0.059,0.006,0.004,0.007,0,
G-A007,feet_air_time,forward_fast,3,terminated,0.000,0.000,0.000,0.000,0.000,0,
G-A007,feet_air_time,forward_fast,3,progress_m,0.347,0.309,-0.038,0.005,0.008,-1,worse
G-A007,feet_air_time,forward_fast,3,speed,0.026,0.031,0.005,0.000,0.001,1,
G-A007,feet_air_time,forward_fast,3,error_xy,1.183,1.185,0.002,0.000,0.000,1,worse
G-A007,feet_air_time,forward_fast,3,error_yaw,0.040,0.056,0.016,0.002,0.004,1,worse
G-A007,feet_air_time,forward_nominal,3,terminated,0.000,0.000,0.000,0.000,0.000,0,
G-A007,feet_air_time,forward_nominal,3,progress_m,0.342,0.241,-0.102,0.003,0.005,-1,worse
G-A007,feet_air_time,forward_nominal,3,speed,0.027,0.029,0.003,0.001,0.001,1,
G-A007,feet_air_time,forward_nominal,3,error_xy,0.733,0.740,0.007,0.000,0.000,1,worse
G-A007,feet_air_time,forward_nominal,3,error_yaw,0.043,0.072,0.029,0.003,0.005,1,worse
G-A007,feet_air_time,forward_slow,3,terminated,0.000,0.000,0.000,0.000,0.000,0,
G-A007,feet_air_time,forward_slow,3,progress_m,0.334,0.040,-0.294,0.002,0.004,-1,worse
G-A007,feet_air_time,forward_slow,3,speed,0.029,0.028,-0.001,0.001,0.001,-1,
G-A007,feet_air_time,forward_slow,3,error_xy,0.292,0.299,0.007,0.000,0.000,1,worse
G-A007,feet_air_time,forward_slow,3,error_yaw,0.061,0.083,0.022,0.002,0.003,1,worse
G-A007,feet_air_time,left,3,terminated,0.000,0.000,0.000,0.000,0.000,0,
G-A007,feet_air_time,left,3,progress_m,-0.025,0.387,0.412,0.001,0.001,1,better
G-A007,feet_air_time,left,3,speed,0.024,0.058,0.034,0.001,0.001,1,
G-A007,feet_air_time,left,3,error_xy,0.353,0.336,-0.017,0.000,0.001,-1,better
G-A007,feet_air_time,left,3,error_yaw,0.074,0.087,0.013,0.001,0.001,1,worse
G-A007,feet_air_time,push_neg_x,3,terminated,10.000,0.000,-10.000,2.000,3.266,-1,better
G-A007,feet_air_time,push_neg_x,3,speed,0.050,0.047,-0.002,0.002,0.004,0,
G-A007,feet_air_time,push_neg_x,3,error_xy,0.050,0.047,-0.002,0.002,0.004,0,
G-A007,feet_air_time,push_neg_x,3,error_yaw,0.094,0.079,-0.015,0.005,0.007,-1,better
G-A007,feet_air_time,push_neg_y,3,terminated,10.667,0.000,-10.667,1.528,2.494,-1,better
G-A007,feet_air_time,push_neg_y,3,speed,0.050,0.047,-0.002,0.001,0.001,-1,
G-A007,feet_air_time,push_neg_y,3,error_xy,0.050,0.047,-0.002,0.001,0.001,-1,better
G-A007,feet_air_time,push_neg_y,3,error_yaw,0.092,0.079,-0.013,0.003,0.004,-1,better
G-A007,feet_air_time,push_pos_x,3,terminated,9.667,0.333,-9.333,2.309,3.771,-1,better
G-A007,feet_air_time,push_pos_x,3,speed,0.050,0.048,-0.002,0.002,0.002,0,
G-A007,feet_air_time,push_pos_x,3,error_xy,0.050,0.048,-0.002,0.002,0.002,0,
G-A007,feet_air_time,push_pos_x,3,error_yaw,0.092,0.081,-0.012,0.004,0.006,-1,better
G-A007,feet_air_time,push_pos_y,3,terminated,10.000,0.000,-10.000,1.732,2.828,-1,better
