metric,scenario,value
a017_observed,G1,9.39073
a033_observed,G1,9.22452
delta_observed,G1,-0.16621
delta_resample_sd,G1,0.00000
a017_observed,G2,9.36739
a033_observed,G2,9.21294
delta_observed,G2,-0.15445
delta_resample_sd,G2,0.28229
a017_observed,G3,4.97014
a033_observed,G3,4.22726
delta_observed,G3,-0.74289
delta_resample_sd,G3,1.01823
a017_observed,G4,5.36307
a033_observed,G4,9.01774
delta_observed,G4,+3.65467
delta_resample_sd,G4,0.49816
a017_observed,G5,0.00000
a033_observed,G5,0.04473
delta_observed,G5,+0.04473
delta_resample_sd,G5,0.02802
a017_observed,G6,6.10035
a033_observed,G6,5.69295
delta_observed,G6,-0.40740
delta_resample_sd,G6,0.43098
a017_observed,G7,4.57326
a033_observed,G7,5.10847
delta_observed,G7,+0.53521
delta_resample_sd,G7,0.20179
delta_total_observed,ALL,+2.76366
delta_total_resample_sd,ALL,1.26443
delta_total_ci95_lo,ALL,+0.04666
delta_total_ci95_hi,ALL,+5.04652
detect_limit_2sigma,ALL,2.52886
