metric,key,value
loo_mae_baseline,ALL,1.5862
loo_mae_linear,ALL,0.8246
loo_mae_levels_only,ALL,0.5143
loo_mae_model,ALL,0.3933
loo_mae_supported,ALL,0.2183
dead_mean,ang_vel_xy_l2,0.0000
level_mean,track_lin_vel_xy_exp=1.0,0.6405
level_min,track_lin_vel_xy_exp=1.0,0.5508
level_max,track_lin_vel_xy_exp=1.0,0.8163
level_mean,track_lin_vel_xy_exp=1.2,1.1402
level_min,track_lin_vel_xy_exp=1.2,0.9151
level_max,track_lin_vel_xy_exp=1.2,1.8052
level_mean,track_lin_vel_xy_exp=1.4,4.5395
level_min,track_lin_vel_xy_exp=1.4,4.2503
level_max,track_lin_vel_xy_exp=1.4,4.7864
level_mean,track_lin_vel_xy_exp=1.5,4.7087
level_min,track_lin_vel_xy_exp=1.5,4.7087
level_max,track_lin_vel_xy_exp=1.5,4.7087
loo_actual,feet_air_time_020_v1,0.5508
loo_predicted,feet_air_time_020_v1,0.6854
loo_error,feet_air_time_020_v1,-0.1346
loo_actual,track_lin_vel_120_v1,0.9724
loo_predicted,track_lin_vel_120_v1,1.1738
loo_error,track_lin_vel_120_v1,-0.2014
loo_actual,g_a010_lin_vel_z_m2,0.5545
loo_predicted,g_a010_lin_vel_z_m2,0.6835
loo_error,g_a010_lin_vel_z_m2,-0.1290
loo_actual,g_a013_flat_orientation_m1,0.8163
loo_predicted,g_a013_flat_orientation_m1,0.5526
loo_error,g_a013_flat_orientation_m1,+0.2637
loo_actual,g_a015_pilot_feet_air_time_035,1.8052
loo_predicted,g_a015_pilot_feet_air_time_035,1.0072
loo_error,g_a015_pilot_feet_air_time_035,+0.7980
loo_actual,g_a016_pilot_ang_vel_xy_m015,0.0000
loo_predicted,g_a016_pilot_ang_vel_xy_m015,0.0000
loo_error,g_a016_pilot_ang_vel_xy_m015,+0.0000
loo_actual,g_a017_pilot_track_lin_vel_xy_140,4.2503
loo_predicted,g_a017_pilot_track_lin_vel_xy_140,4.6842
loo_error,g_a017_pilot_track_lin_vel_xy_140,-0.4339
loo_actual,g_a018_pilot_action_rate_m008,1.1671
loo_predicted,g_a018_pilot_action_rate_m008,1.1348
loo_error,g_a018_pilot_action_rate_m008,+0.0323
loo_actual,g_a020_chain01_lin_vel_z_m2,0.9690
loo_predicted,g_a020_chain01_lin_vel_z_m2,1.1744
loo_error,g_a020_chain01_lin_vel_z_m2,-0.2054
loo_actual,g_a021_chain01_ang_vel_xy_m005,1.0124
loo_predicted,g_a021_chain01_ang_vel_xy_m005,1.1658
loo_error,g_a021_chain01_ang_vel_xy_m005,-0.1534
loo_actual,g_a022_chain01_feet_air_time_020,0.9151
loo_predicted,g_a022_chain01_feet_air_time_020,1.1852
loo_error,g_a022_chain01_feet_air_time_020,-0.2701
loo_actual,g_a024_ang_vel_xy_m015,0.0000
loo_predicted,g_a024_ang_vel_xy_m015,0.0000
loo_error,g_a024_ang_vel_xy_m015,+0.0000
loo_actual,g_a031_a017_feet_air_time_001,4.7864
loo_predicted,g_a031_a017_feet_air_time_001,4.4161
loo_error,g_a031_a017_feet_air_time_001,+0.3703
loo_actual,g_a032_a017_feet_air_time_010,4.5819
loo_predicted,g_a032_a017_feet_air_time_010,4.5183
loo_error,g_a032_a017_feet_air_time_010,+0.0636
loo_actual,g_a033_a017_track_lin_vel_xy_150,4.7087
loo_predicted,g_a033_a017_track_lin_vel_xy_150,1.8651
loo_error,g_a033_a017_track_lin_vel_xy_150,+2.8436
refuting_actual,g_a038_a033_ang_vel_xy_m008,3.0348
refuting_predicted,g_a038_a033_ang_vel_xy_m008,4.7087
refuting_error,g_a038_a033_ang_vel_xy_m008,-1.6739
loo_mae_model_with_refuting,ALL,0.4002
loo_mae_supported_with_refuting,ALL,0.4002
