seq,occurred,run,kind,track_lin_vel_xy_exp,feet_air_time,lin_vel_z_l2,ang_vel_xy_l2,action_rate_l2,flat_orientation_l2,iterations,terrain_999,track_lin_vel_999,episode_length_999,base_contact_999,arm,total_70,as_recorded_70,cases,instrument,instrument_symmetric,locomotion,replicate_of,hypothesis_registered
1,2026-08-31_15-42-43,train_260831-Go2_5var_1000,eval,,,,,,,,,,,,—,,,,,,,,NOT_REGISTERED
2,2026-09-01_16-52-25,go2_default_vs_pilot_v1,eval,1.0,0.01,-3.0,-0.08,-0.01,0.0,,,,,,default,17.90699,17.90699,69,no_fall_detection,True,POLICY_DOES_NOT_LOCOMOTE,,NOT_REGISTERED
2,2026-09-01_16-52-25,go2_default_vs_pilot_v1,eval,1.2,0.2,-2.0,-0.05,-0.01,0.0,,,,,,pilot,41.9799,41.9799,69,no_fall_detection,True,POLICY_LOCOMOTES,,NOT_REGISTERED
3,2026-09-01_19-18-17,go2_feet_air_time_020_v1,train,1.0,0.2,-3.0,-0.08,-0.01,0.0,1000,0.5508,0.4158,984.94,0.0287,candidate,21.77258,21.77258,69,no_fall_detection,,POLICY_DOES_NOT_LOCOMOTE,,NOT_REGISTERED
4,2026-09-02_09-27-11,go2_track_lin_vel_120_v1,train,,,,,,,,,,,,baseline_tier1,0,17.53712,7,no_fall_detection,True,POLICY_DOES_NOT_LOCOMOTE,,NOT_REGISTERED
4,2026-09-02_09-27-11,go2_track_lin_vel_120_v1,train,1.2,0.01,-3.0,-0.08,-0.01,0.0,1000,0.9724,0.4926,993.3,0.0652,candidate,0,20.62741,7,no_fall_detection,True,POLICY_DOES_NOT_LOCOMOTE,,NOT_REGISTERED
5,2026-09-02_14-26-38,go2_g_a010_lin_vel_z_m2,train,,,,,,,,,,,,baseline_tier1,0,17.53712,7,no_fall_detection,True,POLICY_DOES_NOT_LOCOMOTE,,NOT_REGISTERED
5,2026-09-02_14-26-38,go2_g_a010_lin_vel_z_m2,train,1.0,0.01,-2.0,-0.08,-0.01,0.0,1000,0.5545,0.3603,951.47,0.1014,candidate,0,19.79428,7,no_fall_detection,True,POLICY_DOES_NOT_LOCOMOTE,,NOT_REGISTERED
6,2026-09-03_15-02-26,go2_pilot_v2_baseline,eval,1.2,0.2,-2.0,-0.05,-0.01,0.0,,,,,,pilot_v2,33.79311,,69,posture_gate_v1,,POLICY_LOCOMOTES,,NOT_REGISTERED
7,2026-09-03_16-49-11,go2_g_a013_flat_orientation_m1,train,,,,,,,,,,,,baseline_tier1,0,17.13207,7,no_fall_detection,False,POLICY_DOES_NOT_LOCOMOTE,,NOT_REGISTERED
7,2026-09-03_16-49-11,go2_g_a013_flat_orientation_m1,train,1.0,0.01,-3.0,-0.08,-0.01,-1.0,1000,0.8163,0.4209,995.94,0.04,candidate,0,15.70428,7,posture_gate_v1,False,POLICY_DOES_NOT_LOCOMOTE,,NOT_REGISTERED
8,2026-09-04_08-03-40,go2_g_a015_pilot_feet_air_time_035,train,,,,,,,,,,,,baseline_tier1,0,46.49124,7,posture_gate_v1,True,POLICY_LOCOMOTES,,NOT_REGISTERED
8,2026-09-04_08-03-40,go2_g_a015_pilot_feet_air_time_035,train,1.2,0.35,-2.0,-0.05,-0.01,0.0,1000,1.8052,0.6451,934.44,0.1049,candidate,0,16.36931,7,posture_gate_v1,True,POLICY_LOCOMOTES,,NOT_REGISTERED
9,2026-09-04_21-00-12,go2_g_a016_pilot_ang_vel_xy_m015,train,,,,,,,,,,,,baseline_tier1,0,46.49124,7,posture_gate_v1,True,POLICY_LOCOMOTES,,NOT_REGISTERED
9,2026-09-04_21-00-12,go2_g_a016_pilot_ang_vel_xy_m015,train,1.2,0.2,-2.0,-0.15,-0.01,0.0,1000,0.0,0.2509,995.99,0.0225,candidate,0,1.3757,7,posture_gate_v1,True,POLICY_DOES_NOT_LOCOMOTE,,NOT_REGISTERED
10,2026-09-04_22-24-51,go2_g_a017_pilot_track_lin_vel_xy_140,train,,,,,,,,,,,,baseline_tier1,0,46.49124,7,posture_gate_v1,True,POLICY_LOCOMOTES,,NOT_REGISTERED
10,2026-09-04_22-24-51,go2_g_a017_pilot_track_lin_vel_xy_140,train,1.4,0.2,-2.0,-0.05,-0.01,0.0,1000,4.2503,0.8861,900.57,0.1061,candidate,0,50.19916,7,posture_gate_v1,True,POLICY_LOCOMOTES,,NOT_REGISTERED
11,2026-09-04_23-41-35,go2_g_a018_pilot_action_rate_m008,train,,,,,,,,,,,,baseline_tier1,0,46.49124,7,posture_gate_v1,True,POLICY_LOCOMOTES,,NOT_REGISTERED
11,2026-09-04_23-41-35,go2_g_a018_pilot_action_rate_m008,train,1.2,0.2,-2.0,-0.05,-0.008,0.0,1000,1.1671,0.5631,921.46,0.2072,candidate,0,2.0926,7,posture_gate_v1,True,POLICY_DOES_NOT_LOCOMOTE,,NOT_REGISTERED
12,2026-09-05_08-31-59,go2_g_a020_chain01_lin_vel_z_m2,train,,,,,,,,,,,,baseline_tier1,0,18.61056,7,no_fall_detection,False,POLICY_DOES_NOT_LOCOMOTE,,NOT_REGISTERED
12,2026-09-05_08-31-59,go2_g_a020_chain01_lin_vel_z_m2,train,1.2,0.01,-2.0,-0.08,-0.01,0.0,1000,0.969,0.495,903.48,0.1222,candidate,0,0.42833,7,posture_gate_v1,False,POLICY_DOES_NOT_LOCOMOTE,,NOT_REGISTERED
13,2026-09-05_11-00-08,go2_g_a021_chain01_ang_vel_xy_m005,train,,,,,,,,,,,,baseline_tier1,0,18.61056,7,no_fall_detection,False,POLICY_DOES_NOT_LOCOMOTE,,NOT_REGISTERED
13,2026-09-05_11-00-08,go2_g_a021_chain01_ang_vel_xy_m005,train,1.2,0.01,-3.0,-0.05,-0.01,0.0,1000,1.0124,0.5734,979.47,0.0895,candidate,0,12.00263,7,posture_gate_v1,False,POLICY_DOES_NOT_LOCOMOTE,,NOT_REGISTERED
14,2026-09-05_12-43-21,go2_g_a022_chain01_feet_air_time_020,train,,,,,,,,,,,,baseline_tier1,0,18.61056,7,no_fall_detection,False,POLICY_DOES_NOT_LOCOMOTE,,NOT_REGISTERED
14,2026-09-05_12-43-21,go2_g_a022_chain01_feet_air_time_020,train,1.2,0.2,-3.0,-0.08,-0.01,0.0,1000,0.9151,0.5053,994.39,0.0607,candidate,0,4.88301,7,posture_gate_v1,False,POLICY_DOES_NOT_LOCOMOTE,,NOT_REGISTERED
15,2026-09-05_14-08-59,go2_chain01_baseline,eval,,,,,,,,,,,,chain01,1.5791,,69,posture_gate_v1,,POLICY_DOES_NOT_LOCOMOTE,,NOT_REGISTERED
16,2026-09-06_12-06-43,go2_g_a010_lin_vel_z_m2_v2_260906,train,,,,,,,,,,,,baseline_tier1,0,17.13207,7,no_fall_detection,False,POLICY_DOES_NOT_LOCOMOTE,go2_g_a010_lin_vel_z_m2,NOT_REGISTERED
16,2026-09-06_12-06-43,go2_g_a010_lin_vel_z_m2_v2_260906,train,1.0,0.01,-2.0,-0.08,-0.01,0.0,1000,0.5545,0.3603,951.47,0.1014,candidate,0,9.49955,7,posture_gate_v1,False,POLICY_DOES_NOT_LOCOMOTE,go2_g_a010_lin_vel_z_m2,NOT_REGISTERED
17,2026-09-06_13-48-50,go2_g_a024_ang_vel_xy_m015,train,,,,,,,,,,,,baseline_tier1,0,17.13207,7,no_fall_detection,False,POLICY_DOES_NOT_LOCOMOTE,,NOT_REGISTERED
17,2026-09-06_13-48-50,go2_g_a024_ang_vel_xy_m015,train,1.0,0.01,-3.0,-0.15,-0.01,0.0,1000,0.0,0.209,998.47,0.0095,candidate,0,0.0,7,posture_gate_v1,False,POLICY_DOES_NOT_LOCOMOTE,,NOT_REGISTERED
18,2026-09-06_15-08-46,go2_g_a025_flat_orientation_m1,train,,,,,,,,,,,,baseline_tier1,0,17.13207,7,no_fall_detection,False,POLICY_DOES_NOT_LOCOMOTE,go2_g_a013_flat_orientation_m1,NOT_REGISTERED
18,2026-09-06_15-08-46,go2_g_a025_flat_orientation_m1,train,1.0,0.01,-3.0,-0.08,-0.01,-1.0,1000,0.8163,0.4209,995.94,0.04,candidate,0,15.70428,7,posture_gate_v1,False,POLICY_DOES_NOT_LOCOMOTE,go2_g_a013_flat_orientation_m1,NOT_REGISTERED
19,2026-09-09_20-43-00,go2_a017_full_suite,eval,1.4,0.2,-2.0,-0.05,-0.01,0.0,,,,,,a017,39.76495,39.76495,69,posture_gate_v2,True,POLICY_LOCOMOTES,,NOT_REGISTERED
19,2026-09-09_20-43-00,go2_a017_full_suite,eval,1.2,0.2,-2.0,-0.05,-0.01,0.0,,,,,,pilot,33.67132,33.67132,69,posture_gate_v2,True,POLICY_LOCOMOTES,,NOT_REGISTERED
20,2026-09-15_13-46-29,go2_g_a031_a017_feet_air_time_001,train,1.4,0.2,-2.0,-0.05,-0.01,0.0,,,,,,a017_sentinel,0,,5,posture_gate_v2,True,POLICY_LOCOMOTES,,NOT_REGISTERED
20,2026-09-15_13-46-29,go2_g_a031_a017_feet_air_time_001,train,1.4,0.01,-2.0,-0.05,-0.01,0.0,1000,4.7864,0.92,929.35,0.122,candidate,3.95404,,10,posture_gate_v2,True,POLICY_LOCOMOTES,,NOT_REGISTERED
21,2026-09-15_14-53-23,go2_g_a032_a017_feet_air_time_010,train,1.4,0.2,-2.0,-0.05,-0.01,0.0,,,,,,a017_sentinel,0,,5,posture_gate_v2,True,POLICY_LOCOMOTES,,NOT_REGISTERED
21,2026-09-15_14-53-23,go2_g_a032_a017_feet_air_time_010,train,1.4,0.1,-2.0,-0.05,-0.01,0.0,1000,4.5819,0.9693,923.02,0.1442,candidate,0.85521,,10,posture_gate_v2,True,POLICY_LOCOMOTES,,NOT_REGISTERED
22,2026-09-15_21-29-57,go2_g_a033_a017_track_lin_vel_xy_150,train,1.4,0.2,-2.0,-0.05,-0.01,0.0,,,,,,a017_sentinel,0,,5,posture_gate_v2,True,POLICY_LOCOMOTES,,NOT_REGISTERED
22,2026-09-15_21-29-57,go2_g_a033_a017_track_lin_vel_xy_150,train,1.5,0.2,-2.0,-0.05,-0.01,0.0,1000,4.7087,0.9436,900.63,0.1711,candidate,42.52861,,69,posture_gate_v2,True,POLICY_LOCOMOTES,,NOT_REGISTERED
23,2026-09-17_14-11-49,go2_g_a038_a033_ang_vel_xy_m008,train,1.5,0.2,-2.0,-0.08,-0.01,0.0,1000,3.0348,0.9775,962.87,0.1238,candidate,0,,10,posture_gate_v2,True,POLICY_LOCOMOTES,,NOT_REGISTERED
23,2026-09-17_14-11-49,go2_g_a038_a033_ang_vel_xy_m008,train,1.5,0.2,-2.0,-0.05,-0.01,0.0,,,,,,g_a033_sentinel,0,,5,posture_gate_v2,True,POLICY_LOCOMOTES,,NOT_REGISTERED
24,2026-09-21_10-02-16,go2_g_a041_a033_ang_vel_xy_m004,train,1.5,0.2,-2.0,-0.04,-0.01,0.0,1000,4.6058,0.9714,901.15,0.1743,candidate,4.91939,,13,posture_gate_v2,True,POLICY_LOCOMOTES,,NOT_REGISTERED
24,2026-09-21_10-02-16,go2_g_a041_a033_ang_vel_xy_m004,train,1.5,0.2,-2.0,-0.05,-0.01,0.0,,,,,,g_a033_sentinel,0,,5,posture_gate_v2,True,POLICY_LOCOMOTES,,NOT_REGISTERED
25,2026-09-21_20-21-46,go2_g_a042_a033_track_lin_vel_xy_160,train,1.6,0.2,-2.0,-0.05,-0.01,0.0,1000,4.205,1.0281,916.29,0.1518,candidate,4.4543,,21,posture_gate_v2,True,POLICY_LOCOMOTES,,NOT_REGISTERED
25,2026-09-21_20-21-46,go2_g_a042_a033_track_lin_vel_xy_160,train,1.5,0.2,-2.0,-0.05,-0.01,0.0,,,,,,g_a033_sentinel,0,,5,posture_gate_v2,True,POLICY_LOCOMOTES,,NOT_REGISTERED
26,2026-09-22_12-22-54,go2_g_a043_a033_lin_vel_z_m15,train,1.5,0.2,-1.5,-0.05,-0.01,0.0,1000,5.2393,1.0681,911.49,0.1809,candidate,44.62454,,69,posture_gate_v2,True,POLICY_LOCOMOTES,,NOT_REGISTERED
26,2026-09-22_12-22-54,go2_g_a043_a033_lin_vel_z_m15,train,1.5,0.2,-2.0,-0.05,-0.01,0.0,,,,,,g_a033_sentinel,0,,5,posture_gate_v2,True,POLICY_LOCOMOTES,,NOT_REGISTERED
27,2026-09-23_22-55-29,go2_g_a044_a033_lin_vel_z_m175,train,1.5,0.2,-1.75,-0.05,-0.01,0.0,1000,4.9246,1.0068,853.93,0.1712,candidate,38.89379,,69,posture_gate_v2,True,POLICY_LOCOMOTES,,NOT_REGISTERED
27,2026-09-23_22-55-29,go2_g_a044_a033_lin_vel_z_m175,train,1.5,0.2,-2.0,-0.05,-0.01,0.0,,,,,,g_a033_sentinel,0,,5,posture_gate_v2,True,POLICY_LOCOMOTES,,NOT_REGISTERED
28,,go2_basic_motion_pair_a031_a032,eval,,,,,,,,,,,,—,,,,,,,,NOT_REGISTERED
29,,go2_campaign_g_a033,eval,,,,,,,,,,,,—,,,,,,,,NOT_REGISTERED
30,,go2_campaign_g_a038,eval,,,,,,,,,,,,—,,,,,,,,NOT_REGISTERED
31,,go2_campaign_g_a041,eval,,,,,,,,,,,,—,,,,,,,,NOT_REGISTERED
32,,go2_campaign_g_a042,eval,,,,,,,,,,,,—,,,,,,,,NOT_REGISTERED
33,,go2_campaign_g_a043,eval,,,,,,,,,,,,—,,,,,,,,NOT_REGISTERED
