run,arm,instrument,G1,G2,G3,G4,G5,G6,G7,total_70,tracking_xy_rmse_mean,G1_deduction,G2_deduction,G3_deduction,G4_deduction,G5_deduction,G6_deduction,G7_deduction
go2_default_vs_pilot_v1,default,no_fall_detection,0.038,2.78539,3.7172,4.02655,1.38344,4.09781,1.8586,17.90699,0.44886,10.462,7.71461,10.2828,6.47345,9.11656,2.90219,5.1414
go2_default_vs_pilot_v1,pilot,no_fall_detection,9.3713,7.89674,6.16445,5.55237,2.38401,6.5646,4.04643,41.9799,0.19935,1.1287,2.60326,7.83555,4.94763,8.11599,0.4354,2.95357
go2_feet_air_time_020_v1,candidate,no_fall_detection,0.03731,2.82917,4.96111,3.90592,1.03957,6.51895,2.48055,21.77258,0.42645,10.46269,7.67083,9.03889,6.59408,9.46043,0.48105,4.51945
go2_pilot_v2_baseline,pilot_v2,posture_gate_v1,9.3713,7.89674,1.02741,5.55237,0,6.5515,3.39378,33.79311,0.19935,1.1287,2.60326,12.97259,4.94763,10.5,0.4485,3.60622
go2_chain01_baseline,chain01,posture_gate_v1,0,0,0,0,0,1.5791,0,1.5791,0.4074,10.5,10.5,14,10.5,10.5,5.4209,7
go2_a017_full_suite,a017,posture_gate_v2,9.39073,9.36739,4.97014,5.36307,0,6.10035,4.57326,39.76495,0.18659,1.10927,1.13261,9.02986,5.13693,10.5,0.89965,2.42674
go2_a017_full_suite,pilot,posture_gate_v2,9.3713,7.89674,1.02741,5.55237,0,6.5515,3.272,33.67132,0.19992,1.1287,2.60326,12.97259,4.94763,10.5,0.4485,3.728
go2_g_a031_a017_feet_air_time_001,candidate,posture_gate_v2,—,—,—,—,—,—,3.95404,3.95404,0.31273,—,—,—,—,—,—,3.04596
go2_g_a032_a017_feet_air_time_010,candidate,posture_gate_v2,—,—,—,—,—,—,0.85521,0.85521,0.3608,—,—,—,—,—,—,6.14479
go2_g_a033_a017_track_lin_vel_xy_150,candidate,posture_gate_v2,9.22452,9.21294,4.22726,9.01774,0.04473,5.69295,5.10847,42.52861,0.17383,1.27548,1.28706,9.77274,1.48226,10.45527,1.30705,1.89153
go2_g_a041_a033_ang_vel_xy_m004,candidate,posture_gate_v2,—,—,4.91939,—,—,—,—,4.91939,0.24964,—,—,9.08061,—,—,—,—
go2_g_a042_a033_track_lin_vel_xy_160,candidate,posture_gate_v2,—,—,4.4543,—,—,—,—,4.4543,0.25505,—,—,9.5457,—,—,—,—
go2_g_a043_a033_lin_vel_z_m15,candidate,posture_gate_v2,9.67313,4.57601,7.41379,9.73673,1.61747,6.27679,5.33062,44.62454,0.15298,0.82687,5.92399,6.58621,0.76327,8.88253,0.72321,1.66938
go2_g_a044_a033_lin_vel_z_m175,candidate,posture_gate_v2,9.6701,8.80022,1.40551,9.55211,0,4.52457,4.94128,38.89379,0.17036,0.8299,1.69978,12.59449,0.94789,10.5,2.47543,2.05872
