run,iteration,terrain,terrain_mean_last10
go2_feet_air_time_020_v1,700,0.3954,0.4003
go2_feet_air_time_020_v1,800,0.4331,0.4270
go2_feet_air_time_020_v1,900,0.4980,0.4975
go2_feet_air_time_020_v1,999,0.5508,0.5474
go2_track_lin_vel_120_v1,700,0.8197,0.8169
go2_track_lin_vel_120_v1,800,0.8996,0.8948
go2_track_lin_vel_120_v1,900,0.9313,0.9275
go2_track_lin_vel_120_v1,999,0.9724,0.9748
go2_g_a010_lin_vel_z_m2,700,0.4763,0.4734
go2_g_a010_lin_vel_z_m2,800,0.5152,0.5102
go2_g_a010_lin_vel_z_m2,900,0.5148,0.5051
go2_g_a010_lin_vel_z_m2,999,0.5545,0.5466
go2_g_a013_flat_orientation_m1,700,0.6175,0.6188
go2_g_a013_flat_orientation_m1,800,0.6996,0.6981
go2_g_a013_flat_orientation_m1,900,0.7527,0.7568
go2_g_a013_flat_orientation_m1,999,0.8163,0.8160
go2_g_a015_pilot_feet_air_time_035,700,0.8817,0.8807
go2_g_a015_pilot_feet_air_time_035,800,0.9669,0.9629
go2_g_a015_pilot_feet_air_time_035,900,1.3052,1.2835
go2_g_a015_pilot_feet_air_time_035,999,1.8052,1.7710
go2_g_a016_pilot_ang_vel_xy_m015,700,0.0000,0.0000
go2_g_a016_pilot_ang_vel_xy_m015,800,0.0000,0.0000
go2_g_a016_pilot_ang_vel_xy_m015,900,0.0000,0.0000
go2_g_a016_pilot_ang_vel_xy_m015,999,0.0000,0.0000
go2_g_a017_pilot_track_lin_vel_xy_140,700,1.7005,1.6707
go2_g_a017_pilot_track_lin_vel_xy_140,800,2.4858,2.4529
go2_g_a017_pilot_track_lin_vel_xy_140,900,3.4268,3.3915
go2_g_a017_pilot_track_lin_vel_xy_140,999,4.2503,4.2157
go2_g_a018_pilot_action_rate_m008,700,0.8890,0.8886
go2_g_a018_pilot_action_rate_m008,800,0.9283,0.9277
go2_g_a018_pilot_action_rate_m008,900,1.0467,1.0414
go2_g_a018_pilot_action_rate_m008,999,1.1671,1.1663
go2_g_a020_chain01_lin_vel_z_m2,700,0.8082,0.8006
go2_g_a020_chain01_lin_vel_z_m2,800,0.8360,0.8339
go2_g_a020_chain01_lin_vel_z_m2,900,0.9125,0.9090
go2_g_a020_chain01_lin_vel_z_m2,999,0.9690,0.9662
go2_g_a021_chain01_ang_vel_xy_m005,700,0.8187,0.8154
go2_g_a021_chain01_ang_vel_xy_m005,800,0.8947,0.8965
go2_g_a021_chain01_ang_vel_xy_m005,900,0.9754,0.9746
go2_g_a021_chain01_ang_vel_xy_m005,999,1.0124,1.0128
go2_g_a022_chain01_feet_air_time_020,700,0.7527,0.7512
go2_g_a022_chain01_feet_air_time_020,800,0.8188,0.8194
go2_g_a022_chain01_feet_air_time_020,900,0.8551,0.8524
go2_g_a022_chain01_feet_air_time_020,999,0.9151,0.9162
go2_g_a010_lin_vel_z_m2_v2_260906,700,0.4763,0.4734
go2_g_a010_lin_vel_z_m2_v2_260906,800,0.5152,0.5102
go2_g_a010_lin_vel_z_m2_v2_260906,900,0.5148,0.5051
go2_g_a010_lin_vel_z_m2_v2_260906,999,0.5545,0.5466
go2_g_a024_ang_vel_xy_m015,700,0.0000,0.0000
go2_g_a024_ang_vel_xy_m015,800,0.0000,0.0000
go2_g_a024_ang_vel_xy_m015,900,0.0000,0.0000
go2_g_a024_ang_vel_xy_m015,999,0.0000,0.0000
go2_g_a025_flat_orientation_m1,700,0.6175,0.6188
go2_g_a025_flat_orientation_m1,800,0.6996,0.6981
go2_g_a025_flat_orientation_m1,900,0.7527,0.7568
go2_g_a025_flat_orientation_m1,999,0.8163,0.8160
go2_g_a031_a017_feet_air_time_001,700,2.6546,2.6087
go2_g_a031_a017_feet_air_time_001,800,3.7424,3.7003
go2_g_a031_a017_feet_air_time_001,900,4.5344,4.5040
go2_g_a031_a017_feet_air_time_001,999,4.7864,4.7827
go2_g_a032_a017_feet_air_time_010,700,2.5823,2.5226
