metric,run,value
terrain_999,A015,1.8052
delta_tier1,A015,-30.12
insample_predicted,A015,-28.99
insample_residual,A015,-1.13
terrain_999,A016,0.0000
delta_tier1,A016,-45.12
insample_predicted,A016,-51.24
insample_residual,A016,+6.13
terrain_999,A017,4.2503
delta_tier1,A017,+3.71
insample_predicted,A017,+1.15
insample_residual,A017,+2.55
terrain_999,A018,1.1671
delta_tier1,A018,-44.40
insample_predicted,A018,-36.85
insample_residual,A018,-7.54
pearson_r,ALL,+0.967
r_squared,ALL,0.935
slope_per_level,ALL,+12.33
loo_predicted,A015,-28.61
loo_error,A015,-1.51
loo_predicted,A016,-59.99
loo_error,A016,+14.87
loo_predicted,A017,-15.88
loo_error,A017,+19.59
loo_predicted,A018,-33.74
loo_error,A018,-10.66
loo_mae,ALL,11.66
loo_mae_baseline,ALL,21.79
alt_predictor_loo_mae,terrain,11.66
alt_predictor_loo_mae,track_lin_vel,25.61
alt_predictor_loo_mae,episode_length,34.76
alt_predictor_loo_mae,base_contact,43.26
